Session: 312,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,10,Month:,Feb,Year:,2017
Track:,Beach,Speed:,fast,Time:,30 (sec),
Target Angle:,52,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,4,58.492,True
2,6,56.200,True
3,2,60.554,False
4,0,33.693,False
5,1,42.129,True
6,8,49.282,True
7,2,43.941,False
8,10,52.993,True
9,5,46.269,True
10,7,48.425,True
11,6,47.492,True
12,9,53.752,True
13,4,45.382,True
14,7,48.809,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.021,-0.001 | 6.672 | 0.045,0.564 | 6.642 | 0.015,-0.548 | 6.605 | 0.068,0.348 | 6.731 | 0.007,-0.349 | 6.719 | 0.028,0.000,0.000,2017-02-10 09:56:51,0,307
0.091,-0.005 | 6.655 | 0.105,0.278 | 6.375 | 0.250,-0.086 | 6.379 | 0.313,0.230 | 6.569 | 0.131,-0.186 | 6.551 | 0.192,0.000,0.000,2017-02-10 09:56:51,1,307
0.076,-0.009 | 6.661 | 0.089,0.270 | 6.384 | 0.178,-0.085 | 6.364 | 0.279,0.209 | 6.576 | 0.061,-0.168 | 6.552 | 0.168,0.000,0.000,2017-02-10 09:56:52,1,307
0.054,-0.018 | 6.655 | 0.065,0.204 | 6.411 | 0.165,-0.162 | 6.358 | 0.260,0.179 | 6.569 | -0.005,-0.214 | 6.550 | 0.138,0.000,0.000,2017-02-10 09:56:52,1,307
0.038,-0.022 | 6.660 | 0.052,0.152 | 6.419 | 0.153,-0.201 | 6.441 | 0.296,0.166 | 6.568 | -0.026,-0.287 | 6.595 | 0.144,0.000,0.000,2017-02-10 09:56:52,1,307
0.046,0.006 | 6.661 | 0.064,0.118 | 6.382 | 0.148,-0.101 | 6.509 | 0.314,0.155 | 6.535 | -0.023,-0.262 | 6.623 | 0.189,36.719,14.051,2017-02-10 09:56:52,1,307
0.045,0.021 | 6.659 | 0.065,0.144 | 6.365 | 0.153,-0.054 | 6.544 | 0.295,0.183 | 6.521 | -0.015,-0.244 | 6.653 | 0.216,40.856,21.176,2017-02-10 09:56:52,1,307
0.042,0.022 | 6.659 | 0.062,0.145 | 6.371 | 0.156,-0.043 | 6.580 | 0.278,0.194 | 6.522 | -0.015,-0.250 | 6.666 | 0.214,44.323,24.245,2017-02-10 09:56:53,1,307
0.039,0.022 | 6.659 | 0.060,0.146 | 6.375 | 0.156,-0.063 | 6.612 | 0.297,0.197 | 6.524 | -0.016,-0.245 | 6.611 | 0.150,31.480,24.761,2017-02-10 09:56:53,1,307
0.025,0.011 | 6.664 | 0.043,0.173 | 6.410 | 0.149,-0.072 | 6.646 | 0.255,0.221 | 6.564 | -0.020,-0.224 | 6.586 | 0.088,21.781,28.480,2017-02-10 09:56:53,1,307
0.031,0.016 | 6.661 | 0.049,0.126 | 6.400 | 0.149,-0.030 | 6.589 | 0.234,0.175 | 6.545 | -0.027,-0.213 | 6.572 | 0.091,21.191,14.019,2017-02-10 09:56:53,1,307
0.038,0.015 | 6.659 | 0.055,0.134 | 6.388 | 0.160,-0.053 | 6.574 | 0.223,0.178 | 6.535 | -0.015,-0.270 | 6.656 | 0.200,45.683,18.889,2017-02-10 09:56:54,1,307
0.043,0.021 | 6.656 | 0.058,0.126 | 6.364 | 0.153,-0.059 | 6.651 | 0.252,0.171 | 6.516 | -0.019,-0.283 | 6.698 | 0.207,51.125,22.637,2017-02-10 09:56:54,1,307
0.042,0.032 | 6.655 | 0.054,0.156 | 6.359 | 0.146,-0.082 | 6.673 | 0.264,0.201 | 6.515 | -0.021,-0.286 | 6.768 | 0.203,68.356,29.028,2017-02-10 09:56:54,1,307
0.036,0.025 | 6.658 | 0.047,0.174 | 6.382 | 0.154,-0.096 | 6.692 | 0.250,0.223 | 6.535 | -0.015,-0.289 | 6.816 | 0.210,93.409,33.417,2017-02-10 09:56:54,1,307
0.034,0.007 | 6.660 | 0.042,0.127 | 6.392 | 0.145,-0.112 | 6.742 | 0.267,0.182 | 6.542 | -0.025,-0.317 | 6.830 | 0.202,93.302,29.300,2017-02-10 09:56:54,1,307
0.042,0.023 | 6.655 | 0.051,0.125 | 6.388 | 0.164,-0.087 | 6.751 | 0.258,0.194 | 6.518 | -0.017,-0.289 | 6.688 | 0.160,45.999,28.185,2017-02-10 09:56:55,1,307
0.043,0.015 | 6.656 | 0.052,0.107 | 6.410 | 0.173,-0.081 | 6.716 | 0.256,0.198 | 6.527 | -0.007,-0.274 | 6.650 | 0.143,35.931,28.288,2017-02-10 09:56:55,1,307
0.042,0.008 | 6.659 | 0.052,0.083 | 6.422 | 0.174,-0.087 | 6.704 | 0.260,0.181 | 6.533 | -0.006,-0.280 | 6.651 | 0.140,35.912,24.723,2017-02-10 09:56:55,1,307
0.042,0.005 | 6.660 | 0.052,0.076 | 6.423 | 0.177,-0.085 | 6.684 | 0.251,0.173 | 6.533 | -0.004,-0.306 | 6.716 | 0.183,53.328,23.288,2017-02-10 09:56:55,1,307
0.042,0.004 | 6.660 | 0.052,0.076 | 6.422 | 0.179,-0.112 | 6.694 | 0.263,0.170 | 6.534 | -0.003,-0.317 | 6.785 | 0.199,72.115,23.545,2017-02-10 09:56:55,1,307
0.043,0.006 | 6.660 | 0.052,0.079 | 6.421 | 0.180,-0.121 | 6.728 | 0.241,0.172 | 6.533 | -0.003,-0.308 | 6.861 | 0.201,93.692,24.260,2017-02-10 09:56:56,1,307
0.044,0.009 | 6.660 | 0.052,0.086 | 6.413 | 0.175,-0.100 | 6.750 | 0.257,0.182 | 6.534 | 0.000,-0.316 | 6.809 | 0.195,102.243,26.371,2017-02-10 09:56:56,1,307
0.040,0.010 | 6.658 | 0.047,0.089 | 6.407 | 0.156,-0.091 | 6.749 | 0.252,0.209 | 6.538 | 0.004,-0.310 | 6.727 | 0.175,55.971,32.930,2017-02-10 09:56:56,1,307
0.036,0.009 | 6.657 | 0.042,0.070 | 6.417 | 0.156,-0.090 | 6.741 | 0.245,0.204 | 6.535 | 0.006,-0.304 | 6.700 | 0.161,49.718,31.273,2017-02-10 09:56:56,1,307
0.035,0.009 | 6.657 | 0.041,0.058 | 6.423 | 0.162,-0.089 | 6.731 | 0.240,0.197 | 6.532 | 0.010,-0.302 | 6.689 | 0.154,47.674,28.923,2017-02-10 09:56:57,1,307
0.035,0.008 | 6.656 | 0.040,0.051 | 6.428 | 0.167,-0.088 | 6.725 | 0.237,0.193 | 6.530 | 0.013,-0.303 | 6.687 | 0.153,47.696,27.740,2017-02-10 09:56:57,1,307
0.035,0.008 | 6.656 | 0.040,0.047 | 6.430 | 0.168,-0.092 | 6.732 | 0.236,0.190 | 6.530 | 0.014,-0.312 | 6.708 | 0.161,53.674,27.224,2017-02-10 09:56:57,1,307
0.035,0.007 | 6.656 | 0.040,0.045 | 6.428 | 0.167,-0.094 | 6.718 | 0.229,0.188 | 6.529 | 0.013,-0.319 | 6.730 | 0.169,59.924,27.008,2017-02-10 09:56:57,1,307
0.035,0.006 | 6.656 | 0.040,0.039 | 6.431 | 0.163,-0.103 | 6.725 | 0.253,0.187 | 6.529 | 0.012,-0.321 | 6.738 | 0.171,62.051,26.921,2017-02-10 09:56:57,1,307
0.043,0.009 | 6.661 | 0.047,-0.093 | 6.559 | 0.196,-0.064 | 6.621 | 0.260,0.125 | 6.543 | 0.116,-0.280 | 6.702 | 0.229,50.811,9.433,2017-02-10 09:56:58,1,307
0.063,0.014 | 6.663 | 0.062,-0.171 | 6.625 | 0.242,-0.053 | 6.556 | 0.231,0.049 | 6.585 | 0.174,-0.267 | 6.646 | 0.217,43.167,-17.573,2017-02-10 09:56:58,1,307
0.069,0.015 | 6.663 | 0.068,-0.149 | 6.616 | 0.287,-0.078 | 6.572 | 0.214,0.055 | 6.578 | 0.180,-0.291 | 6.665 | 0.196,51.562,-16.082,2017-02-10 09:56:58,1,307
0.070,0.015 | 6.662 | 0.068,-0.138 | 6.619 | 0.275,-0.108 | 6.587 | 0.206,0.068 | 6.570 | 0.177,-0.311 | 6.701 | 0.188,62.092,-11.811,2017-02-10 09:56:58,1,307
0.069,0.015 | 6.662 | 0.068,-0.149 | 6.623 | 0.275,-0.119 | 6.610 | 0.201,0.062 | 6.578 | 0.186,-0.320 | 6.727 | 0.182,69.231,-14.459,2017-02-10 09:56:58,1,307
0.068,0.015 | 6.662 | 0.067,-0.148 | 6.617 | 0.280,-0.108 | 6.619 | 0.198,0.062 | 6.578 | 0.185,-0.318 | 6.718 | 0.182,66.748,-14.434,2017-02-10 09:56:59,1,307
0.068,0.015 | 6.662 | 0.067,-0.144 | 6.613 | 0.280,-0.104 | 6.613 | 0.198,0.065 | 6.576 | 0.183,-0.315 | 6.710 | 0.182,64.669,-13.482,2017-02-10 09:56:59,1,307
0.068,0.015 | 6.662 | 0.067,-0.124 | 6.603 | 0.270,-0.102 | 6.616 | 0.202,0.080 | 6.561 | 0.166,-0.315 | 6.709 | 0.183,64.577,-7.794,2017-02-10 09:56:59,1,307
0.068,0.015 | 6.662 | 0.067,-0.138 | 6.608 | 0.245,-0.104 | 6.611 | 0.200,0.078 | 6.564 | 0.169,-0.315 | 6.709 | 0.185,64.745,-8.793,2017-02-10 09:56:59,1,307
0.068,0.015 | 6.662 | 0.067,-0.136 | 6.613 | 0.257,-0.104 | 6.612 | 0.201,0.076 | 6.567 | 0.172,-0.315 | 6.710 | 0.186,64.960,-9.766,2017-02-10 09:57:00,1,307
0.068,0.015 | 6.662 | 0.067,-0.134 | 6.612 | 0.266,-0.103 | 6.613 | 0.201,0.075 | 6.568 | 0.173,-0.314 | 6.710 | 0.188,64.992,-10.063,2017-02-10 09:57:00,1,307
0.068,0.015 | 6.662 | 0.067,-0.134 | 6.608 | 0.267,-0.101 | 6.615 | 0.202,0.075 | 6.568 | 0.173,-0.314 | 6.709 | 0.188,64.904,-10.184,2017-02-10 09:57:00,1,307
0.068,0.015 | 6.662 | 0.067,-0.129 | 6.603 | 0.267,-0.100 | 6.615 | 0.203,0.079 | 6.565 | 0.169,-0.313 | 6.707 | 0.188,64.442,-8.843,2017-02-10 09:57:00,1,307
0.067,0.015 | 6.662 | 0.067,-0.096 | 6.599 | 0.267,-0.084 | 6.630 | 0.211,0.101 | 6.551 | 0.151,-0.307 | 6.685 | 0.175,58.492,-2.171,2017-02-10 09:57:00,1,307
0.059,0.013 | 6.662 | 0.065,0.040 | 6.500 | 0.253,-0.054 | 6.596 | 0.175,0.189 | 6.534 | 0.077,-0.276 | 6.623 | 0.111,38.660,20.615,2017-02-10 09:57:01,2,307
0.062,0.033 | 6.655 | 0.076,0.077 | 6.474 | 0.209,0.023 | 6.544 | 0.130,0.219 | 6.521 | 0.031,-0.204 | 6.575 | 0.088,23.042,22.137,2017-02-10 09:57:01,2,307
0.059,0.039 | 6.654 | 0.077,0.077 | 6.516 | 0.201,0.040 | 6.513 | 0.116,0.226 | 6.521 | 0.022,-0.187 | 6.560 | 0.091,22.345,20.970,2017-02-10 09:57:01,2,307
0.056,0.037 | 6.655 | 0.075,0.060 | 6.504 | 0.185,0.026 | 6.505 | 0.123,0.221 | 6.525 | 0.018,-0.199 | 6.564 | 0.099,25.353,20.059,2017-02-10 09:57:01,2,307
0.045,0.022 | 6.662 | 0.062,0.038 | 6.515 | 0.172,-0.043 | 6.520 | 0.131,0.212 | 6.544 | 0.019,-0.260 | 6.606 | 0.121,39.237,20.660,2017-02-10 09:57:01,2,307
0.043,0.015 | 6.664 | 0.057,0.009 | 6.499 | 0.172,-0.076 | 6.562 | 0.149,0.183 | 6.544 | 0.024,-0.293 | 6.644 | 0.126,47.237,16.532,2017-02-10 09:57:02,2,307
0.047,0.017 | 6.663 | 0.059,0.000 | 6.480 | 0.182,-0.070 | 6.582 | 0.166,0.175 | 6.539 | 0.040,-0.290 | 6.650 | 0.130,46.268,14.830,2017-02-10 09:57:02,2,307
0.051,0.018 | 6.662 | 0.062,-0.005 | 6.472 | 0.192,-0.078 | 6.581 | 0.169,0.170 | 6.535 | 0.051,-0.295 | 6.662 | 0.135,48.430,13.886,2017-02-10 09:57:02,2,307
0.061,0.031 | 6.657 | 0.075,0.005 | 6.438 | 0.221,-0.070 | 6.581 | 0.169,0.159 | 6.513 | 0.062,-0.284 | 6.663 | 0.128,49.429,9.392,2017-02-10 09:57:02,2,307
0.057,0.024 | 6.659 | 0.071,0.032 | 6.405 | 0.221,-0.089 | 6.587 | 0.163,0.167 | 6.521 | 0.071,-0.301 | 6.681 | 0.139,56.200,11.677,2017-02-10 09:57:02,2,307
0.057,0.022 | 6.659 | 0.071,0.014 | 6.421 | 0.221,-0.088 | 6.601 | 0.164,0.157 | 6.520 | 0.066,-0.304 | 6.681 | 0.129,54.851,10.510,2017-02-10 09:57:03,3,307
0.059,0.024 | 6.658 | 0.072,-0.005 | 6.574 | 0.217,-0.047 | 6.595 | 0.177,0.162 | 6.518 | 0.064,-0.265 | 6.627 | 0.100,37.546,11.706,2017-02-10 09:57:03,3,307
0.058,0.029 | 6.657 | 0.072,0.055 | 6.547 | 0.247,0.025 | 6.549 | 0.162,0.195 | 6.520 | 0.063,-0.185 | 6.570 | 0.062,16.314,16.752,2017-02-10 09:57:03,3,307
0.058,0.031 | 6.656 | 0.073,0.059 | 6.543 | 0.246,0.064 | 6.538 | 0.149,0.221 | 6.535 | 0.079,-0.150 | 6.542 | 0.058,13.077,17.313,2017-02-10 09:57:03,3,307
