Session: 403,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,10,Month:,Mar,Year:,2017
Track:,Beach,Speed:,medium,Time:,60 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,-16.844,False
2,0,1.352,False
3,0,6.117,False
4,0,2.939,False
5,0,3.076,False
6,0,0.836,False
7,0,3.236,False
8,0,2.161,False
9,0,2.741,False
10,0,2.160,False
11,0,1.611,False
12,0,2.187,False
13,0,1.087,False
14,0,1.091,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-03-10 10:17:21,0,325
0.163,0.025 | 6.651 | 0.166,0.225 | 6.509 | 0.598,-0.317 | 6.710 | 0.325,0.218 | 6.611 | 0.388,-0.300 | 6.862 | 0.149,0.000,0.000,2017-03-10 10:17:33,1,325
0.146,0.031 | 6.655 | 0.154,0.224 | 6.483 | 0.566,-0.290 | 6.773 | 0.299,0.214 | 6.587 | 0.357,-0.264 | 6.918 | 0.118,0.000,0.000,2017-03-10 10:17:33,1,325
0.136,0.035 | 6.656 | 0.145,0.234 | 6.485 | 0.555,-0.202 | 6.729 | 0.281,0.220 | 6.583 | 0.344,-0.278 | 6.887 | 0.127,0.000,0.000,2017-03-10 10:17:33,1,325
0.139,0.033 | 6.654 | 0.147,0.245 | 6.487 | 0.556,-0.192 | 6.588 | 0.277,0.225 | 6.585 | 0.346,-0.296 | 6.743 | 0.138,0.000,0.000,2017-03-10 10:17:33,1,325
0.155,0.025 | 6.651 | 0.161,0.252 | 6.492 | 0.562,-0.141 | 6.429 | 0.335,0.225 | 6.598 | 0.356,-0.213 | 6.588 | 0.181,27.044,26.825,2017-03-10 10:17:33,1,325
0.189,0.009 | 6.648 | 0.190,0.223 | 6.454 | 0.542,-0.114 | 6.334 | 0.310,0.196 | 6.620 | 0.380,-0.142 | 6.535 | 0.195,8.001,18.110,2017-03-10 10:17:34,1,325
0.219,-0.013 | 6.648 | 0.221,0.220 | 6.456 | 0.565,-0.136 | 6.326 | 0.301,0.178 | 6.624 | 0.408,-0.151 | 6.538 | 0.204,5.588,18.763,2017-03-10 10:17:34,1,325
0.229,-0.023 | 6.647 | 0.231,0.221 | 6.494 | 0.602,-0.009 | 6.393 | 0.185,0.174 | 6.626 | 0.416,-0.163 | 6.534 | 0.288,6.613,20.246,2017-03-10 10:17:34,1,325
0.231,-0.026 | 6.647 | 0.233,0.216 | 6.500 | 0.607,0.049 | 6.443 | 0.207,0.169 | 6.627 | 0.418,-0.152 | 6.533 | 0.285,3.300,19.769,2017-03-10 10:17:34,1,325
0.230,-0.026 | 6.647 | 0.232,0.212 | 6.500 | 0.607,0.051 | 6.430 | 0.210,0.164 | 6.628 | 0.418,-0.149 | 6.531 | 0.273,2.470,18.365,2017-03-10 10:17:35,1,325
0.228,-0.026 | 6.646 | 0.230,0.210 | 6.499 | 0.606,0.061 | 6.553 | 0.311,0.161 | 6.628 | 0.417,-0.149 | 6.534 | 0.211,2.441,17.198,2017-03-10 10:17:35,1,325
0.226,-0.023 | 6.645 | 0.228,0.210 | 6.497 | 0.603,0.040 | 6.579 | 0.331,0.158 | 6.627 | 0.417,-0.145 | 6.535 | 0.196,1.915,15.633,2017-03-10 10:17:35,1,325
0.224,-0.022 | 6.645 | 0.226,0.211 | 6.493 | 0.599,0.061 | 6.558 | 0.312,0.156 | 6.627 | 0.416,-0.143 | 6.533 | 0.203,1.823,14.717,2017-03-10 10:17:35,1,325
