Session: 403,Game:,Wingman,User:,Survivor2
Game No.:,1
Day:,10,Month:,Mar,Year:,2017
Track:,Beach,Speed:,medium,Time:,60 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,4.008,False
2,1,60.190,False
3,0,-2.627,False
4,0,-0.171,False
5,0,65.191,False
6,10,51.482,False
7,0,36.219,False
8,0,39.988,False
9,0,8.210,False
10,0,6.010,False
11,0,5.893,False
12,0,5.868,False
13,0,5.629,False
14,0,5.337,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-03-10 10:19:05,0,326
0.121,-0.003 | 6.646 | 0.123,0.236 | 6.512 | 0.508,0.006 | 6.514 | 0.296,0.208 | 6.644 | 0.318,-0.155 | 6.532 | 0.129,0.000,0.000,2017-03-10 10:19:05,1,326
0.115,-0.003 | 6.649 | 0.119,0.228 | 6.479 | 0.476,0.073 | 6.503 | 0.227,0.182 | 6.628 | 0.303,-0.125 | 6.536 | 0.108,0.000,0.000,2017-03-10 10:19:05,1,326
0.113,-0.003 | 6.650 | 0.117,0.235 | 6.475 | 0.466,0.068 | 6.590 | 0.214,0.179 | 6.624 | 0.296,-0.122 | 6.541 | 0.089,0.000,0.000,2017-03-10 10:19:05,1,326
0.113,-0.003 | 6.650 | 0.117,0.233 | 6.479 | 0.470,0.073 | 6.590 | 0.206,0.179 | 6.624 | 0.295,-0.122 | 6.541 | 0.088,0.000,0.000,2017-03-10 10:19:05,1,326
0.113,-0.003 | 6.650 | 0.117,0.233 | 6.479 | 0.469,0.065 | 6.432 | 0.200,0.179 | 6.624 | 0.295,-0.122 | 6.537 | 0.108,1.926,14.063,2017-03-10 10:19:06,1,326
0.113,-0.003 | 6.650 | 0.117,0.234 | 6.477 | 0.468,0.062 | 6.537 | 0.238,0.179 | 6.624 | 0.295,-0.121 | 6.540 | 0.094,1.663,14.066,2017-03-10 10:19:06,1,326
0.113,-0.003 | 6.650 | 0.117,0.236 | 6.476 | 0.467,0.091 | 6.529 | 0.189,0.179 | 6.624 | 0.295,-0.123 | 6.539 | 0.097,2.110,14.071,2017-03-10 10:19:06,1,326
0.113,-0.003 | 6.650 | 0.117,0.234 | 6.480 | 0.470,0.085 | 6.564 | 0.199,0.179 | 6.624 | 0.295,-0.121 | 6.540 | 0.093,1.641,14.082,2017-03-10 10:19:06,1,326
0.113,-0.003 | 6.650 | 0.117,0.231 | 6.485 | 0.475,0.094 | 6.529 | 0.188,0.179 | 6.624 | 0.295,-0.121 | 6.539 | 0.097,1.601,14.104,2017-03-10 10:19:07,1,326
0.113,-0.003 | 6.650 | 0.117,0.235 | 6.481 | 0.471,0.089 | 6.507 | 0.194,0.179 | 6.624 | 0.295,-0.121 | 6.539 | 0.098,1.726,14.117,2017-03-10 10:19:07,1,326
0.113,-0.003 | 6.650 | 0.117,0.238 | 6.469 | 0.459,0.073 | 6.580 | 0.211,0.179 | 6.624 | 0.295,-0.122 | 6.541 | 0.088,1.829,14.130,2017-03-10 10:19:07,1,326
0.113,-0.003 | 6.650 | 0.117,0.234 | 6.482 | 0.472,0.074 | 6.586 | 0.206,0.179 | 6.624 | 0.295,-0.122 | 6.541 | 0.087,1.841,14.144,2017-03-10 10:19:07,1,326
0.113,-0.003 | 6.650 | 0.117,0.235 | 6.481 | 0.471,0.077 | 6.582 | 0.204,0.179 | 6.624 | 0.295,-0.122 | 6.541 | 0.088,1.828,14.162,2017-03-10 10:19:07,1,326
0.113,-0.003 | 6.650 | 0.117,0.234 | 6.481 | 0.471,0.078 | 6.579 | 0.203,0.179 | 6.624 | 0.295,-0.122 | 6.541 | 0.089,1.816,14.173,2017-03-10 10:19:08,1,326
0.113,-0.003 | 6.650 | 0.117,0.235 | 6.478 | 0.468,0.093 | 6.523 | 0.189,0.179 | 6.624 | 0.295,-0.121 | 6.539 | 0.097,1.791,14.177,2017-03-10 10:19:08,1,326
