Session: 403,Game:,Wingman,User:,Survivor2
Game No.:,2
Day:,10,Month:,Mar,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,-2.589,False
2,0,5.774,False
3,0,6.384,False
4,0,3.780,False
5,0,2.910,False
6,0,-7.521,True
7,0,-8.271,True
8,0,2.923,True
9,0,-13.160,True
10,0,3.519,True
11,0,3.432,True
12,0,3.630,True
13,0,3.967,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.114,-0.002 | 6.647 | 0.122,0.271 | 6.654 | 0.444,-0.080 | 6.772 | 0.236,0.217 | 6.604 | 0.222,0.003 | 6.948 | 0.108,0.000,0.000,2017-03-10 10:21:46,0,327
0.117,-0.004 | 6.646 | 0.125,0.183 | 6.510 | 0.366,-0.088 | 6.743 | 0.232,0.142 | 6.561 | 0.142,-0.004 | 6.953 | 0.174,0.000,0.000,2017-03-10 10:21:47,1,327
0.118,-0.006 | 6.645 | 0.127,0.179 | 6.510 | 0.366,-0.089 | 6.744 | 0.238,0.137 | 6.560 | 0.142,-0.003 | 6.949 | 0.168,0.000,0.000,2017-03-10 10:21:47,1,327
0.118,-0.009 | 6.644 | 0.128,0.176 | 6.509 | 0.366,-0.085 | 6.739 | 0.235,0.134 | 6.559 | 0.142,-0.005 | 6.947 | 0.166,0.000,0.000,2017-03-10 10:21:47,1,327
0.118,-0.009 | 6.645 | 0.128,0.176 | 6.509 | 0.365,-0.087 | 6.737 | 0.226,0.134 | 6.559 | 0.141,-0.018 | 6.955 | 0.180,0.000,0.000,2017-03-10 10:21:47,1,327
0.117,-0.009 | 6.645 | 0.127,0.178 | 6.510 | 0.363,-0.094 | 6.740 | 0.222,0.135 | 6.560 | 0.139,-0.020 | 6.959 | 0.189,216.657,4.418,2017-03-10 10:21:47,1,327
0.116,-0.008 | 6.646 | 0.126,0.180 | 6.511 | 0.362,-0.098 | 6.743 | 0.221,0.137 | 6.561 | 0.138,-0.020 | 6.960 | 0.192,216.326,5.134,2017-03-10 10:21:48,1,327
0.117,-0.004 | 6.646 | 0.127,0.181 | 6.513 | 0.363,-0.103 | 6.743 | 0.220,0.139 | 6.563 | 0.139,-0.018 | 6.958 | 0.195,217.240,4.660,2017-03-10 10:21:48,1,327
0.118,0.001 | 6.646 | 0.128,0.184 | 6.510 | 0.363,-0.099 | 6.742 | 0.220,0.141 | 6.563 | 0.140,-0.014 | 6.957 | 0.198,217.653,4.446,2017-03-10 10:21:48,1,327
0.085,-0.003 | 6.657 | 0.099,0.134 | 6.506 | 0.338,-0.041 | 6.760 | 0.288,0.117 | 6.561 | 0.113,0.061 | 6.686 | 0.092,-63.915,-0.527,2017-03-10 10:21:48,1,327
