Session: 314,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,13,Month:,Feb,Year:,2017
Track:,Temple,Speed:,medium,Time:,60 (sec),
Target Angle:,53,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.028,True
2,9,51.339,False
3,0,20.717,False
4,9,54.697,False
5,7,49.865,True
6,2,44.678,True
7,9,54.390,True
8,6,57.410,True
9,6,48.789,False
10,4,46.442,True
11,2,44.532,True
12,0,35.835,False
13,5,47.063,False
14,0,37.755,False
15,6,48.251,False
16,7,56.613,False
17,0,1.257,False
18,0,0.365,False
19,9,54.790,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-02-13 09:58:55,0,309
0.187,-0.023 | 6.636 | 0.197,0.251 | 6.321 | 0.260,-0.176 | 6.339 | 0.323,0.219 | 6.543 | 0.196,-0.227 | 6.516 | 0.179,0.000,0.000,2017-02-13 09:58:58,1,309
0.202,-0.032 | 6.639 | 0.214,0.265 | 6.319 | 0.261,-0.145 | 6.318 | 0.294,0.207 | 6.537 | 0.205,-0.238 | 6.513 | 0.207,0.000,0.000,2017-02-13 09:58:58,1,309
0.174,-0.050 | 6.653 | 0.186,0.280 | 6.375 | 0.274,-0.191 | 6.350 | 0.271,0.221 | 6.589 | 0.202,-0.258 | 6.541 | 0.156,0.000,0.000,2017-02-13 09:58:59,1,309
0.132,-0.010 | 6.663 | 0.145,0.237 | 6.379 | 0.277,-0.097 | 6.439 | 0.296,0.227 | 6.580 | 0.160,-0.216 | 6.562 | 0.137,0.000,0.000,2017-02-13 09:58:59,1,309
0.138,0.005 | 6.665 | 0.154,0.154 | 6.441 | 0.320,-0.027 | 6.485 | 0.279,0.204 | 6.563 | 0.127,-0.226 | 6.580 | 0.203,24.316,20.314,2017-02-13 09:58:59,1,309
0.153,-0.013 | 6.662 | 0.166,0.056 | 6.424 | 0.294,-0.115 | 6.513 | 0.295,0.152 | 6.548 | 0.121,-0.306 | 6.648 | 0.284,47.697,13.561,2017-02-13 09:58:59,1,309
0.168,-0.001 | 6.650 | 0.182,0.019 | 6.387 | 0.285,-0.128 | 6.537 | 0.351,0.133 | 6.511 | 0.124,-0.314 | 6.673 | 0.319,61.322,9.503,2017-02-13 09:59:00,1,309
0.173,0.008 | 6.651 | 0.187,0.013 | 6.388 | 0.272,-0.138 | 6.593 | 0.363,0.150 | 6.510 | 0.127,-0.326 | 6.722 | 0.317,72.237,15.318,2017-02-13 09:59:00,1,309
0.173,0.013 | 6.652 | 0.189,0.015 | 6.406 | 0.264,-0.120 | 6.620 | 0.355,0.168 | 6.512 | 0.125,-0.324 | 6.720 | 0.302,69.765,19.502,2017-02-13 09:59:00,1,309
0.173,0.016 | 6.653 | 0.190,0.009 | 6.498 | 0.292,-0.091 | 6.600 | 0.344,0.183 | 6.515 | 0.138,-0.306 | 6.653 | 0.269,53.266,20.992,2017-02-13 09:59:00,1,309
0.170,0.017 | 6.653 | 0.187,-0.041 | 6.557 | 0.324,-0.079 | 6.557 | 0.327,0.164 | 6.518 | 0.220,-0.292 | 6.634 | 0.271,48.776,14.697,2017-02-13 09:59:00,1,309
0.168,0.016 | 6.653 | 0.184,-0.050 | 6.568 | 0.357,-0.075 | 6.566 | 0.336,0.149 | 6.524 | 0.243,-0.290 | 6.639 | 0.281,49.949,9.830,2017-02-13 09:59:01,1,309
0.167,0.015 | 6.653 | 0.183,-0.050 | 6.546 | 0.362,-0.075 | 6.564 | 0.342,0.145 | 6.523 | 0.236,-0.288 | 6.639 | 0.285,49.823,8.164,2017-02-13 09:59:01,1,309
0.169,0.013 | 6.653 | 0.184,-0.053 | 6.548 | 0.358,-0.075 | 6.561 | 0.343,0.140 | 6.521 | 0.230,-0.288 | 6.637 | 0.287,49.210,6.672,2017-02-13 09:59:01,1,309
0.169,0.012 | 6.653 | 0.184,-0.074 | 6.572 | 0.328,-0.097 | 6.558 | 0.342,0.130 | 6.521 | 0.228,-0.302 | 6.648 | 0.275,53.610,4.195,2017-02-13 09:59:01,1,309
0.168,0.011 | 6.653 | 0.183,-0.089 | 6.539 | 0.331,-0.107 | 6.573 | 0.327,0.120 | 6.522 | 0.229,-0.312 | 6.657 | 0.257,56.722,1.620,2017-02-13 09:59:01,1,309
0.167,0.011 | 6.653 | 0.182,-0.108 | 6.589 | 0.338,-0.092 | 6.588 | 0.316,0.096 | 6.528 | 0.242,-0.307 | 6.648 | 0.250,53.103,-4.337,2017-02-13 09:59:02,1,309
0.165,0.010 | 6.653 | 0.180,-0.113 | 6.625 | 0.329,-0.079 | 6.590 | 0.319,0.085 | 6.532 | 0.249,-0.295 | 6.631 | 0.244,47.004,-6.932,2017-02-13 09:59:02,1,309
0.163,0.010 | 6.653 | 0.179,-0.113 | 6.626 | 0.327,-0.063 | 6.594 | 0.331,0.086 | 6.532 | 0.250,-0.275 | 6.606 | 0.234,38.199,-6.701,2017-02-13 09:59:02,1,309
0.163,0.010 | 6.653 | 0.178,-0.095 | 6.598 | 0.357,-0.056 | 6.586 | 0.340,0.097 | 6.528 | 0.247,-0.269 | 6.605 | 0.247,37.052,-3.403,2017-02-13 09:59:02,1,309
0.163,0.010 | 6.653 | 0.178,-0.073 | 6.578 | 0.359,-0.078 | 6.570 | 0.350,0.116 | 6.522 | 0.235,-0.286 | 6.633 | 0.267,45.492,1.624,2017-02-13 09:59:03,1,309
0.164,0.014 | 6.652 | 0.179,-0.061 | 6.556 | 0.349,-0.148 | 6.579 | 0.339,0.132 | 6.514 | 0.225,-0.322 | 6.713 | 0.262,68.367,5.843,2017-02-13 09:59:03,1,309
0.167,0.016 | 6.650 | 0.181,-0.051 | 6.544 | 0.347,-0.143 | 6.616 | 0.338,0.140 | 6.505 | 0.219,-0.318 | 6.760 | 0.282,76.453,9.871,2017-02-13 09:59:03,1,309
0.177,0.020 | 6.652 | 0.190,-0.038 | 6.559 | 0.359,-0.118 | 6.661 | 0.364,0.140 | 6.504 | 0.219,-0.316 | 6.759 | 0.292,74.721,10.201,2017-02-13 09:59:03,1,309
0.186,0.023 | 6.652 | 0.200,-0.034 | 6.620 | 0.331,-0.117 | 6.659 | 0.369,0.138 | 6.503 | 0.225,-0.316 | 6.753 | 0.292,72.605,9.308,2017-02-13 09:59:03,1,309
