Session: 323,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,53,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,21.906,True
2,3,45.504,False
3,0,85.642,False
4,2,44.167,True
5,0,18.693,False
6,0,72.672,True
7,0,72.918,True
8,0,18.581,False
9,0,20.555,False
10,0,93.780,True
11,0,90.498,True
12,0,93.026,True
13,0,92.554,True
14,8,50.878,True
15,0,24.410,True
16,0,92.551,True
17,0,94.623,False
18,0,97.497,False
19,7,56.318,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.163,-0.008 | 6.627 | 0.152,0.254 | 6.444 | 0.556,-0.142 | 6.305 | 0.227,0.225 | 6.585 | 0.373,-0.220 | 6.524 | 0.210,0.000,0.000,2017-02-15 13:50:11,0,319
0.174,-0.012 | 6.609 | 0.158,0.300 | 6.288 | 0.315,-0.134 | 6.303 | 0.014,0.230 | 6.506 | 0.269,-0.186 | 6.509 | 0.110,0.000,0.000,2017-02-15 13:50:11,1,319
0.159,-0.020 | 6.613 | 0.151,0.219 | 6.300 | 0.146,-0.189 | 6.285 | 0.030,0.196 | 6.530 | 0.115,-0.187 | 6.511 | 0.087,0.000,0.000,2017-02-15 13:50:11,1,319
0.126,-0.021 | 6.634 | 0.131,0.095 | 6.347 | 0.028,-0.209 | 6.328 | 0.097,0.142 | 6.574 | 0.001,-0.265 | 6.554 | 0.090,0.000,0.000,2017-02-15 13:50:11,1,319
0.093,-0.014 | 6.640 | 0.097,0.100 | 6.344 | -0.008,-0.229 | 6.393 | 0.140,0.161 | 6.568 | -0.029,-0.313 | 6.610 | 0.137,0.000,0.000,2017-02-15 13:50:11,1,319
0.140,-0.037 | 6.639 | 0.064,0.247 | 6.437 | 0.134,-0.354 | 6.449 | 0.117,0.049 | 6.549 | 0.185,-0.248 | 6.651 | 0.165,-84.806,-28.990,2017-02-15 13:50:12,1,319
0.109,-0.026 | 6.647 | 0.054,0.213 | 6.474 | 0.043,-0.198 | 6.521 | 0.152,0.053 | 6.619 | 0.131,-0.285 | 6.737 | 0.154,-69.550,-29.269,2017-02-15 13:50:12,1,319
0.068,0.007 | 6.654 | 0.020,0.235 | 6.434 | 0.063,-0.073 | 6.446 | 0.131,0.124 | 6.638 | 0.085,-0.185 | 6.624 | 0.029,-88.317,-21.255,2017-02-15 13:50:12,1,319
0.003,0.015 | 6.658 | 0.005,0.081 | 6.344 | 0.049,-0.018 | 6.635 | 0.169,0.100 | 6.553 | -0.053,-0.117 | 6.551 | -0.025,20.109,-18.702,2017-02-15 13:50:12,1,319
-0.010,0.013 | 6.659 | 0.002,0.094 | 6.334 | 0.005,-0.058 | 6.614 | 0.102,0.188 | 6.540 | -0.049,-0.159 | 6.580 | -0.106,12.396,13.040,2017-02-15 13:50:12,1,319
-0.005,0.010 | 6.657 | 0.008,0.101 | 6.346 | 0.007,0.001 | 6.575 | 0.061,0.201 | 6.546 | -0.058,-0.182 | 6.570 | -0.084,17.256,17.642,2017-02-15 13:50:13,1,319
-0.001,0.008 | 6.655 | 0.012,0.092 | 6.350 | 0.008,-0.062 | 6.511 | 0.123,0.198 | 6.545 | -0.060,-0.195 | 6.564 | -0.061,19.626,17.803,2017-02-15 13:50:13,1,319
