Session: 438,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,15,Month:,Mar,Year:,2017
Track:,Beach,Speed:,fast,Time:,30 (sec),
Target Angle:,50,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,60.452,False
2,0,64.154,False
3,0,64.077,False
4,0,64.030,False
5,0,68.849,False
6,0,67.814,False
7,0,64.176,False
8,10,50.099,False
9,0,62.702,True
10,2,58.417,False
11,0,66.676,False
12,0,63.673,False
13,0,69.046,False
14,0,61.557,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-03-15 14:14:46,0,331
0.078,-0.023 | 6.668 | 0.092,0.040 | 6.738 | 0.227,-0.191 | 6.828 | 0.396,0.153 | 6.560 | 0.128,-0.347 | 6.856 | 0.225,0.000,0.000,2017-03-15 14:14:48,1,331
0.077,-0.025 | 6.668 | 0.092,-0.082 | 6.669 | 0.233,-0.212 | 6.810 | 0.363,0.099 | 6.550 | 0.146,-0.363 | 6.746 | 0.197,0.000,0.000,2017-03-15 14:14:48,1,331
0.069,-0.026 | 6.669 | 0.085,-0.008 | 6.658 | 0.245,-0.166 | 6.767 | 0.317,0.158 | 6.555 | 0.119,-0.234 | 6.589 | 0.183,0.000,0.000,2017-03-15 14:14:48,1,331
0.073,-0.026 | 6.670 | 0.089,-0.018 | 6.636 | 0.258,-0.080 | 6.658 | 0.345,0.153 | 6.557 | 0.121,-0.188 | 6.566 | 0.160,0.000,0.000,2017-03-15 14:14:49,1,331
0.081,-0.030 | 6.669 | 0.098,-0.048 | 6.606 | 0.248,-0.082 | 6.624 | 0.310,0.146 | 6.555 | 0.128,-0.295 | 6.634 | 0.216,39.103,16.257,2017-03-15 14:14:49,1,331
0.086,-0.035 | 6.669 | 0.103,-0.070 | 6.651 | 0.243,-0.149 | 6.695 | 0.366,0.120 | 6.556 | 0.148,-0.345 | 6.750 | 0.251,76.179,11.446,2017-03-15 14:14:49,1,331
0.091,-0.038 | 6.669 | 0.107,-0.041 | 6.658 | 0.271,-0.217 | 6.785 | 0.380,0.127 | 6.554 | 0.147,-0.375 | 6.816 | 0.211,93.553,15.226,2017-03-15 14:14:49,1,331
0.093,-0.036 | 6.670 | 0.110,-0.025 | 6.668 | 0.255,-0.218 | 6.811 | 0.342,0.143 | 6.554 | 0.140,-0.387 | 6.803 | 0.182,90.591,19.420,2017-03-15 14:14:49,1,331
0.091,-0.032 | 6.669 | 0.108,-0.026 | 6.677 | 0.229,-0.205 | 6.830 | 0.317,0.150 | 6.554 | 0.137,-0.360 | 6.699 | 0.202,63.541,19.068,2017-03-15 14:14:50,1,331
0.082,-0.017 | 6.669 | 0.098,0.115 | 6.547 | 0.358,-0.162 | 6.756 | 0.298,0.177 | 6.564 | 0.134,-0.252 | 6.579 | 0.176,27.652,19.334,2017-03-15 14:14:50,1,331
0.083,-0.018 | 6.669 | 0.099,0.029 | 6.587 | 0.309,-0.020 | 6.569 | 0.289,0.198 | 6.577 | 0.149,-0.211 | 6.564 | 0.155,14.706,26.208,2017-03-15 14:14:50,1,331
0.090,-0.019 | 6.668 | 0.106,0.019 | 6.587 | 0.271,-0.005 | 6.570 | 0.262,0.229 | 6.601 | 0.170,-0.222 | 6.572 | 0.178,18.653,35.738,2017-03-15 14:14:50,1,331
0.094,-0.011 | 6.666 | 0.110,0.031 | 6.504 | 0.264,-0.063 | 6.548 | 0.340,0.225 | 6.590 | 0.167,-0.248 | 6.600 | 0.208,29.991,30.963,2017-03-15 14:14:51,1,331
0.098,0.002 | 6.665 | 0.112,0.024 | 6.474 | 0.241,-0.056 | 6.552 | 0.323,0.219 | 6.570 | 0.156,-0.251 | 6.615 | 0.212,34.647,24.947,2017-03-15 14:14:51,1,331
0.099,0.016 | 6.663 | 0.111,0.059 | 6.431 | 0.252,-0.069 | 6.531 | 0.315,0.224 | 6.560 | 0.150,-0.253 | 6.625 | 0.207,39.749,22.710,2017-03-15 14:14:51,1,331
0.095,0.007 | 6.658 | 0.105,0.080 | 6.399 | 0.266,-0.099 | 6.454 | 0.291,0.220 | 6.545 | 0.150,-0.230 | 6.593 | 0.157,28.478,24.128,2017-03-15 14:14:51,1,331
0.103,0.026 | 6.669 | 0.118,0.070 | 6.426 | 0.267,-0.244 | 6.346 | 0.177,0.213 | 6.570 | 0.151,-0.221 | 6.575 | 0.137,31.084,15.929,2017-03-15 14:14:51,1,331
0.110,0.046 | 6.668 | 0.125,0.100 | 6.414 | 0.276,-0.219 | 6.342 | 0.164,0.235 | 6.562 | 0.158,-0.183 | 6.572 | 0.148,24.892,17.983,2017-03-15 14:14:52,1,331
0.110,0.042 | 6.668 | 0.125,0.107 | 6.411 | 0.279,-0.248 | 6.345 | 0.162,0.236 | 6.565 | 0.161,-0.181 | 6.568 | 0.149,23.741,18.688,2017-03-15 14:14:52,1,331
0.111,0.040 | 6.667 | 0.126,0.104 | 6.408 | 0.280,-0.331 | 6.392 | 0.103,0.231 | 6.565 | 0.163,-0.184 | 6.568 | 0.149,23.984,17.969,2017-03-15 14:14:52,1,331
0.113,0.040 | 6.667 | 0.128,0.103 | 6.404 | 0.281,-0.326 | 6.387 | 0.110,0.228 | 6.563 | 0.165,-0.185 | 6.568 | 0.150,24.314,17.090,2017-03-15 14:14:52,1,331
0.114,0.040 | 6.667 | 0.129,0.103 | 6.402 | 0.282,-0.324 | 6.385 | 0.111,0.227 | 6.562 | 0.166,-0.186 | 6.569 | 0.151,24.742,16.476,2017-03-15 14:14:52,1,331
0.115,0.041 | 6.667 | 0.130,0.104 | 6.400 | 0.282,-0.311 | 6.375 | 0.116,0.226 | 6.562 | 0.167,-0.187 | 6.569 | 0.151,25.188,16.046,2017-03-15 14:14:53,1,331
0.116,0.041 | 6.667 | 0.131,0.105 | 6.399 | 0.283,-0.311 | 6.375 | 0.115,0.226 | 6.562 | 0.168,-0.187 | 6.569 | 0.152,25.468,15.780,2017-03-15 14:14:53,1,331
0.117,0.041 | 6.667 | 0.132,0.105 | 6.398 | 0.284,-0.326 | 6.382 | 0.160,0.225 | 6.561 | 0.168,-0.188 | 6.569 | 0.152,25.690,15.599,2017-03-15 14:14:53,1,331
0.117,0.042 | 6.666 | 0.132,0.109 | 6.399 | 0.284,-0.341 | 6.408 | 0.241,0.228 | 6.562 | 0.168,-0.241 | 6.606 | 0.169,42.373,16.265,2017-03-15 14:14:53,1,331
0.115,0.042 | 6.666 | 0.130,0.108 | 6.401 | 0.284,-0.221 | 6.519 | 0.347,0.229 | 6.564 | 0.169,-0.292 | 6.693 | 0.209,65.962,18.237,2017-03-15 14:14:54,1,331
0.113,0.043 | 6.667 | 0.128,0.108 | 6.401 | 0.282,-0.138 | 6.614 | 0.353,0.231 | 6.563 | 0.168,-0.296 | 6.730 | 0.227,73.449,19.880,2017-03-15 14:14:54,1,331
0.112,0.043 | 6.667 | 0.128,0.110 | 6.402 | 0.282,-0.128 | 6.617 | 0.343,0.233 | 6.563 | 0.168,-0.296 | 6.733 | 0.231,73.310,21.219,2017-03-15 14:14:54,1,331
0.113,0.042 | 6.667 | 0.128,0.110 | 6.403 | 0.282,-0.127 | 6.613 | 0.342,0.234 | 6.563 | 0.167,-0.296 | 6.728 | 0.230,71.731,21.976,2017-03-15 14:14:54,1,331
0.113,0.041 | 6.667 | 0.128,0.110 | 6.404 | 0.283,-0.127 | 6.610 | 0.343,0.234 | 6.563 | 0.167,-0.296 | 6.723 | 0.229,70.240,22.311,2017-03-15 14:14:54,1,331
0.113,0.040 | 6.667 | 0.128,0.109 | 6.404 | 0.283,-0.127 | 6.607 | 0.345,0.234 | 6.563 | 0.167,-0.295 | 6.719 | 0.228,69.155,22.462,2017-03-15 14:14:55,1,331
0.113,0.040 | 6.667 | 0.128,0.109 | 6.405 | 0.283,-0.127 | 6.605 | 0.346,0.234 | 6.563 | 0.166,-0.295 | 6.717 | 0.229,68.496,22.534,2017-03-15 14:14:55,1,331
0.113,0.040 | 6.667 | 0.128,0.108 | 6.405 | 0.283,-0.126 | 6.603 | 0.347,0.234 | 6.563 | 0.166,-0.294 | 6.715 | 0.231,68.038,22.574,2017-03-15 14:14:55,1,331
0.113,0.039 | 6.667 | 0.128,0.108 | 6.405 | 0.283,-0.122 | 6.600 | 0.348,0.234 | 6.563 | 0.166,-0.292 | 6.710 | 0.232,66.585,22.579,2017-03-15 14:14:55,1,331
0.113,0.039 | 6.667 | 0.128,0.108 | 6.405 | 0.283,-0.110 | 6.589 | 0.349,0.234 | 6.563 | 0.166,-0.284 | 6.689 | 0.231,60.452,22.566,2017-03-15 14:14:55,1,331
0.114,0.038 | 6.667 | 0.128,0.073 | 6.494 | 0.321,0.008 | 6.587 | 0.283,0.233 | 6.562 | 0.166,-0.210 | 6.594 | 0.200,28.391,22.411,2017-03-15 14:14:56,2,331
0.116,0.034 | 6.667 | 0.130,0.079 | 6.569 | 0.291,0.059 | 6.617 | 0.229,0.261 | 6.573 | 0.146,-0.163 | 6.560 | 0.186,15.602,29.114,2017-03-15 14:14:56,2,331
0.118,0.032 | 6.668 | 0.133,0.071 | 6.582 | 0.254,0.043 | 6.512 | 0.281,0.277 | 6.584 | 0.145,-0.165 | 6.557 | 0.186,17.072,33.187,2017-03-15 14:14:56,2,331
0.119,0.032 | 6.667 | 0.134,0.025 | 6.575 | 0.290,0.006 | 6.524 | 0.287,0.225 | 6.565 | 0.171,-0.202 | 6.574 | 0.195,27.583,18.526,2017-03-15 14:14:56,2,331
0.116,0.029 | 6.666 | 0.131,0.120 | 6.405 | 0.317,-0.076 | 6.568 | 0.305,0.214 | 6.560 | 0.171,-0.278 | 6.669 | 0.243,58.034,16.611,2017-03-15 14:14:56,2,331
0.116,0.024 | 6.666 | 0.131,0.117 | 6.387 | 0.285,-0.094 | 6.639 | 0.331,0.219 | 6.560 | 0.167,-0.292 | 6.746 | 0.270,77.469,19.907,2017-03-15 14:14:57,2,331
0.116,0.021 | 6.666 | 0.131,0.100 | 6.399 | 0.285,-0.085 | 6.662 | 0.353,0.219 | 6.560 | 0.166,-0.290 | 6.741 | 0.275,74.058,21.261,2017-03-15 14:14:57,2,331
0.116,0.020 | 6.666 | 0.130,0.095 | 6.403 | 0.285,-0.090 | 6.662 | 0.353,0.219 | 6.560 | 0.165,-0.294 | 6.731 | 0.265,70.790,21.738,2017-03-15 14:14:57,2,331
0.116,0.020 | 6.666 | 0.130,0.095 | 6.404 | 0.286,-0.089 | 6.653 | 0.349,0.219 | 6.560 | 0.165,-0.294 | 6.722 | 0.261,68.034,22.023,2017-03-15 14:14:57,2,331
0.117,0.020 | 6.666 | 0.131,0.096 | 6.403 | 0.287,-0.086 | 6.645 | 0.352,0.220 | 6.559 | 0.165,-0.290 | 6.710 | 0.260,64.154,22.372,2017-03-15 14:14:57,2,331
0.116,0.023 | 6.666 | 0.130,0.098 | 6.408 | 0.287,-0.039 | 6.637 | 0.342,0.222 | 6.563 | 0.165,-0.247 | 6.625 | 0.238,40.135,21.233,2017-03-15 14:14:58,3,331
0.112,0.036 | 6.666 | 0.126,0.108 | 6.405 | 0.284,0.025 | 6.610 | 0.321,0.231 | 6.561 | 0.162,-0.164 | 6.565 | 0.192,16.433,20.087,2017-03-15 14:14:58,3,331
