Session: 455,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,16,Month:,Mar,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,19.280,False
2,0,70.849,False
3,0,24.152,False
4,0,24.348,False
5,0,25.320,False
6,0,5.694,False
7,0,-2.286,False
8,0,-1.874,False
9,0,-1.899,False
10,0,-1.855,False
11,0,40.183,False
12,0,29.050,False
13,0,29.275,False
14,0,29.395,False
15,0,29.481,False
16,0,29.509,False
17,0,29.559,False
18,0,29.486,False
19,0,29.523,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-03-16 13:10:17,0,334
0.096,-0.004 | 6.657 | 0.102,0.272 | 6.421 | 0.434,-0.298 | 6.395 | 0.187,0.205 | 6.580 | 0.277,-0.237 | 6.582 | 0.063,0.000,0.000,2017-03-16 13:10:37,1,334
0.088,-0.004 | 6.660 | 0.095,0.279 | 6.423 | 0.410,-0.290 | 6.386 | 0.168,0.199 | 6.578 | 0.256,-0.224 | 6.576 | 0.049,0.000,0.000,2017-03-16 13:10:37,1,334
0.082,-0.005 | 6.662 | 0.089,0.277 | 6.427 | 0.402,-0.295 | 6.385 | 0.150,0.195 | 6.580 | 0.247,-0.225 | 6.577 | 0.039,0.000,0.000,2017-03-16 13:10:38,1,334
0.080,-0.005 | 6.662 | 0.088,0.308 | 6.390 | 0.322,-0.299 | 6.375 | 0.127,0.205 | 6.571 | 0.218,-0.225 | 6.577 | 0.037,0.000,0.000,2017-03-16 13:10:38,1,334
0.078,-0.004 | 6.662 | 0.087,0.303 | 6.347 | 0.200,-0.298 | 6.373 | 0.127,0.226 | 6.561 | 0.149,-0.224 | 6.576 | 0.038,21.504,29.918,2017-03-16 13:10:38,1,334
0.063,0.005 | 6.664 | 0.076,0.257 | 6.343 | 0.213,-0.290 | 6.380 | 0.133,0.225 | 6.553 | 0.116,-0.212 | 6.577 | 0.036,20.583,26.299,2017-03-16 13:10:38,1,334
0.053,0.010 | 6.665 | 0.068,0.234 | 6.479 | 0.330,-0.284 | 6.383 | 0.134,0.234 | 6.555 | 0.110,-0.199 | 6.574 | 0.032,19.280,26.794,2017-03-16 13:10:38,1,334
0.037,0.022 | 6.667 | 0.054,0.187 | 6.708 | 0.293,-0.281 | 6.388 | 0.136,0.242 | 6.561 | 0.121,-0.187 | 6.573 | 0.029,19.904,25.566,2017-03-16 13:10:39,2,334
0.035,0.030 | 6.666 | 0.048,0.182 | 6.735 | 0.255,-0.294 | 6.398 | 0.121,0.235 | 6.538 | 0.142,-0.182 | 6.575 | 0.018,19.692,25.041,2017-03-16 13:10:39,2,334
0.039,0.038 | 6.663 | 0.048,0.214 | 6.735 | 0.211,-0.316 | 6.407 | 0.118,0.254 | 6.529 | 0.109,-0.188 | 6.581 | 0.031,22.834,27.734,2017-03-16 13:10:39,2,334
0.045,0.053 | 6.662 | 0.055,0.200 | 6.714 | 0.220,-0.328 | 6.417 | 0.103,0.237 | 6.515 | 0.104,-0.185 | 6.592 | 0.044,24.003,21.243,2017-03-16 13:10:39,2,334
0.048,0.054 | 6.663 | 0.059,0.178 | 6.709 | 0.227,-0.331 | 6.422 | 0.097,0.235 | 6.514 | 0.113,-0.189 | 6.598 | 0.039,24.932,21.671,2017-03-16 13:10:39,2,334
0.059,0.059 | 6.665 | 0.072,0.177 | 6.705 | 0.236,-0.394 | 6.530 | 0.155,0.240 | 6.513 | 0.121,-0.244 | 6.664 | 0.037,46.665,22.863,2017-03-16 13:10:40,2,334
0.060,0.057 | 6.664 | 0.071,0.175 | 6.706 | 0.238,-0.412 | 6.674 | 0.219,0.239 | 6.512 | 0.127,-0.280 | 6.758 | 0.047,70.849,24.274,2017-03-16 13:10:40,2,334
0.039,0.041 | 6.660 | 0.047,0.160 | 6.725 | 0.226,-0.304 | 6.774 | 0.285,0.224 | 6.515 | 0.147,-0.287 | 6.857 | 0.067,90.550,29.553,2017-03-16 13:10:40,3,334
0.031,0.037 | 6.661 | 0.039,0.173 | 6.729 | 0.228,-0.282 | 6.537 | 0.213,0.228 | 6.520 | 0.141,-0.261 | 6.669 | 0.022,39.855,31.133,2017-03-16 13:10:40,3,334
0.052,0.055 | 6.665 | 0.062,0.209 | 6.717 | 0.235,-0.297 | 6.394 | 0.083,0.259 | 6.517 | 0.126,-0.173 | 6.585 | 0.029,22.491,27.183,2017-03-16 13:10:40,3,334
0.066,0.057 | 6.663 | 0.077,0.205 | 6.707 | 0.241,-0.347 | 6.438 | 0.099,0.257 | 6.510 | 0.128,-0.195 | 6.604 | 0.037,29.943,26.460,2017-03-16 13:10:41,3,334
0.063,0.044 | 6.660 | 0.073,0.191 | 6.702 | 0.246,-0.343 | 6.429 | 0.105,0.254 | 6.511 | 0.128,-0.207 | 6.605 | 0.037,29.106,28.750,2017-03-16 13:10:41,3,334
0.057,0.047 | 6.661 | 0.067,0.188 | 6.712 | 0.238,-0.337 | 6.427 | 0.101,0.250 | 6.514 | 0.132,-0.194 | 6.599 | 0.035,26.175,26.439,2017-03-16 13:10:41,3,334
0.058,0.049 | 6.661 | 0.068,0.187 | 6.712 | 0.240,-0.336 | 6.426 | 0.102,0.249 | 6.514 | 0.132,-0.187 | 6.594 | 0.037,24.152,25.794,2017-03-16 13:10:41,3,334
0.061,0.046 | 6.661 | 0.071,0.180 | 6.709 | 0.246,-0.347 | 6.432 | 0.099,0.243 | 6.517 | 0.131,-0.197 | 6.599 | 0.036,26.920,24.190,2017-03-16 13:10:41,4,334
0.066,0.045 | 6.662 | 0.076,0.177 | 6.709 | 0.249,-0.343 | 6.433 | 0.109,0.241 | 6.516 | 0.136,-0.200 | 6.604 | 0.042,26.963,24.740,2017-03-16 13:10:41,4,334
0.070,0.042 | 6.662 | 0.081,0.174 | 6.712 | 0.248,-0.343 | 6.432 | 0.111,0.240 | 6.516 | 0.142,-0.191 | 6.597 | 0.047,23.120,25.443,2017-03-16 13:10:42,4,334
0.066,0.047 | 6.661 | 0.076,0.180 | 6.712 | 0.250,-0.343 | 6.438 | 0.115,0.242 | 6.513 | 0.144,-0.197 | 6.606 | 0.045,26.260,25.235,2017-03-16 13:10:42,4,334
0.072,0.041 | 6.661 | 0.081,0.171 | 6.710 | 0.256,-0.341 | 6.427 | 0.117,0.238 | 6.517 | 0.144,-0.200 | 6.599 | 0.048,25.688,24.555,2017-03-16 13:10:42,4,334
0.075,0.048 | 6.663 | 0.086,0.167 | 6.704 | 0.263,-0.340 | 6.432 | 0.119,0.237 | 6.517 | 0.142,-0.190 | 6.597 | 0.050,24.502,22.655,2017-03-16 13:10:42,4,334
0.076,0.050 | 6.663 | 0.086,0.167 | 6.702 | 0.264,-0.339 | 6.432 | 0.120,0.239 | 6.517 | 0.142,-0.188 | 6.596 | 0.051,24.348,22.587,2017-03-16 13:10:42,4,334
0.075,0.052 | 6.663 | 0.087,0.168 | 6.700 | 0.266,-0.337 | 6.433 | 0.121,0.240 | 6.517 | 0.140,-0.186 | 6.595 | 0.049,24.705,22.146,2017-03-16 13:10:43,5,334
0.074,0.052 | 6.663 | 0.086,0.168 | 6.700 | 0.264,-0.337 | 6.434 | 0.121,0.239 | 6.517 | 0.138,-0.183 | 6.594 | 0.048,23.995,21.792,2017-03-16 13:10:43,5,334
0.072,0.052 | 6.664 | 0.084,0.167 | 6.701 | 0.262,-0.339 | 6.436 | 0.119,0.238 | 6.518 | 0.135,-0.184 | 6.593 | 0.046,24.155,21.427,2017-03-16 13:10:43,5,334
0.071,0.052 | 6.664 | 0.083,0.167 | 6.701 | 0.260,-0.340 | 6.436 | 0.118,0.238 | 6.519 | 0.134,-0.187 | 6.596 | 0.043,25.165,21.183,2017-03-16 13:10:43,5,334
0.070,0.053 | 6.664 | 0.082,0.166 | 6.701 | 0.258,-0.337 | 6.435 | 0.118,0.237 | 6.518 | 0.132,-0.186 | 6.595 | 0.042,24.850,21.087,2017-03-16 13:10:43,5,334
0.069,0.053 | 6.665 | 0.081,0.166 | 6.702 | 0.257,-0.339 | 6.436 | 0.118,0.237 | 6.518 | 0.132,-0.186 | 6.595 | 0.041,25.030,21.082,2017-03-16 13:10:44,5,334
0.069,0.053 | 6.665 | 0.081,0.166 | 6.702 | 0.256,-0.338 | 6.436 | 0.118,0.237 | 6.518 | 0.132,-0.187 | 6.596 | 0.040,25.320,21.096,2017-03-16 13:10:44,5,334
0.068,0.053 | 6.665 | 0.080,0.166 | 6.703 | 0.255,-0.338 | 6.435 | 0.117,0.236 | 6.518 | 0.132,-0.189 | 6.597 | 0.039,25.873,21.121,2017-03-16 13:10:44,6,334
0.068,0.053 | 6.665 | 0.080,0.166 | 6.704 | 0.254,-0.338 | 6.435 | 0.117,0.236 | 6.518 | 0.132,-0.192 | 6.598 | 0.038,26.618,21.149,2017-03-16 13:10:44,6,334
0.067,0.053 | 6.665 | 0.080,0.166 | 6.704 | 0.254,-0.336 | 6.434 | 0.118,0.236 | 6.518 | 0.132,-0.192 | 6.598 | 0.037,26.465,21.193,2017-03-16 13:10:44,6,334
0.067,0.053 | 6.665 | 0.079,0.166 | 6.705 | 0.253,-0.255 | 6.386 | 0.119,0.236 | 6.518 | 0.132,-0.184 | 6.592 | 0.038,24.078,21.184,2017-03-16 13:10:45,6,334
