Session: 455,Game:,Wingman,User:,Survivor2
Game No.:,1
Day:,16,Month:,Mar,Year:,2017
Track:,Beach,Speed:,fast,Time:,30 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,27.218,False
2,5,56.276,False
3,2,59.905,False
4,0,19.338,False
5,6,55.232,False
6,0,39.075,False
7,1,41.871,False
8,4,57.686,False
9,5,56.019,False
10,0,22.305,False
11,0,24.748,False
12,0,24.127,False
13,0,23.973,False
14,0,22.987,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.083,-0.006 | 6.662 | 0.089,0.223 | 6.611 | 0.508,-0.187 | 6.509 | 0.474,0.190 | 6.641 | 0.280,-0.192 | 6.619 | 0.268,0.000,0.000,2017-03-16 13:11:18,0,335
0.087,-0.006 | 6.661 | 0.091,0.261 | 6.514 | 0.444,-0.173 | 6.407 | 0.375,0.198 | 6.600 | 0.236,-0.205 | 6.581 | 0.223,0.000,0.000,2017-03-16 13:11:18,1,335
0.086,-0.005 | 6.661 | 0.091,0.262 | 6.515 | 0.443,-0.218 | 6.340 | 0.223,0.199 | 6.598 | 0.235,-0.217 | 6.571 | 0.195,0.000,0.000,2017-03-16 13:11:18,1,335
0.083,-0.007 | 6.661 | 0.089,0.258 | 6.505 | 0.444,-0.332 | 6.382 | 0.212,0.198 | 6.595 | 0.237,-0.248 | 6.573 | 0.106,0.000,0.000,2017-03-16 13:11:18,1,335
0.060,0.000 | 6.664 | 0.073,0.317 | 6.373 | 0.263,-0.284 | 6.495 | 0.220,0.246 | 6.574 | 0.168,-0.271 | 6.621 | 0.025,0.000,0.000,2017-03-16 13:11:19,1,335
0.024,0.017 | 6.667 | 0.043,0.310 | 6.542 | 0.299,-0.279 | 6.470 | 0.100,0.258 | 6.555 | 0.072,-0.265 | 6.655 | -0.042,45.272,31.410,2017-03-16 13:11:19,1,335
-0.006,0.045 | 6.665 | 0.016,0.212 | 6.675 | 0.232,-0.230 | 6.462 | -0.003,0.247 | 6.521 | 0.061,-0.165 | 6.637 | -0.142,25.609,23.368,2017-03-16 13:11:19,1,335
-0.011,0.052 | 6.664 | 0.011,0.134 | 6.716 | 0.146,-0.244 | 6.446 | -0.026,0.233 | 6.514 | 0.082,-0.153 | 6.626 | -0.143,23.231,18.985,2017-03-16 13:11:19,1,335
-0.008,0.060 | 6.664 | 0.015,0.111 | 6.705 | 0.125,-0.281 | 6.461 | -0.012,0.234 | 6.512 | 0.078,-0.181 | 6.643 | -0.117,32.404,18.495,2017-03-16 13:11:19,1,335
0.005,0.076 | 6.661 | 0.025,0.131 | 6.702 | 0.150,-0.289 | 6.471 | -0.014,0.237 | 6.503 | 0.090,-0.175 | 6.656 | -0.099,34.131,18.227,2017-03-16 13:11:20,1,335
0.013,0.088 | 6.661 | 0.032,0.144 | 6.707 | 0.162,-0.282 | 6.473 | -0.015,0.236 | 6.500 | 0.104,-0.162 | 6.657 | -0.092,32.348,16.698,2017-03-16 13:11:20,1,335
0.011,0.087 | 6.662 | 0.031,0.137 | 6.711 | 0.161,-0.288 | 6.473 | -0.021,0.232 | 6.506 | 0.105,-0.164 | 6.656 | -0.095,32.285,15.509,2017-03-16 13:11:20,1,335
0.009,0.083 | 6.664 | 0.029,0.129 | 6.714 | 0.160,-0.297 | 6.475 | -0.025,0.227 | 6.511 | 0.102,-0.171 | 6.657 | -0.099,32.908,15.058,2017-03-16 13:11:20,1,335
0.009,0.082 | 6.665 | 0.029,0.128 | 6.715 | 0.158,-0.298 | 6.476 | -0.025,0.230 | 6.513 | 0.102,-0.172 | 6.657 | -0.100,32.964,16.182,2017-03-16 13:11:21,1,335
0.023,0.067 | 6.651 | 0.043,0.133 | 6.685 | 0.185,-0.258 | 6.427 | -0.030,0.214 | 6.482 | 0.103,-0.142 | 6.614 | -0.106,22.093,17.015,2017-03-16 13:11:21,1,335
0.013,0.055 | 6.646 | 0.035,0.127 | 6.673 | 0.182,-0.277 | 6.417 | -0.004,0.214 | 6.472 | 0.102,-0.163 | 6.598 | -0.097,27.016,19.678,2017-03-16 13:11:21,1,335
0.008,0.054 | 6.648 | 0.030,0.131 | 6.675 | 0.174,-0.284 | 6.423 | -0.013,0.219 | 6.474 | 0.093,-0.172 | 6.608 | -0.101,30.236,20.486,2017-03-16 13:11:21,1,335
0.008,0.054 | 6.648 | 0.031,0.134 | 6.677 | 0.173,-0.283 | 6.424 | -0.014,0.220 | 6.475 | 0.092,-0.172 | 6.610 | -0.101,29.949,20.634,2017-03-16 13:11:21,1,335
0.008,0.054 | 6.648 | 0.032,0.134 | 6.678 | 0.173,-0.281 | 6.424 | -0.013,0.219 | 6.476 | 0.095,-0.171 | 6.610 | -0.100,29.396,20.465,2017-03-16 13:11:22,1,335
0.009,0.054 | 6.648 | 0.032,0.133 | 6.679 | 0.176,-0.281 | 6.423 | -0.013,0.218 | 6.477 | 0.098,-0.171 | 6.610 | -0.099,29.170,20.235,2017-03-16 13:11:22,1,335
0.009,0.054 | 6.648 | 0.033,0.132 | 6.680 | 0.178,-0.281 | 6.423 | -0.013,0.217 | 6.477 | 0.100,-0.171 | 6.610 | -0.098,29.143,20.009,2017-03-16 13:11:22,1,335
0.010,0.053 | 6.648 | 0.033,0.132 | 6.681 | 0.180,-0.281 | 6.423 | -0.013,0.216 | 6.478 | 0.102,-0.171 | 6.610 | -0.098,29.200,19.818,2017-03-16 13:11:22,1,335
0.010,0.053 | 6.648 | 0.034,0.131 | 6.681 | 0.182,-0.282 | 6.423 | -0.013,0.216 | 6.478 | 0.104,-0.171 | 6.610 | -0.098,29.308,19.667,2017-03-16 13:11:23,1,335
0.010,0.053 | 6.648 | 0.034,0.131 | 6.682 | 0.184,-0.282 | 6.423 | -0.013,0.215 | 6.479 | 0.106,-0.171 | 6.611 | -0.097,29.402,19.592,2017-03-16 13:11:23,1,335
0.011,0.053 | 6.648 | 0.034,0.131 | 6.682 | 0.185,-0.282 | 6.423 | -0.014,0.215 | 6.479 | 0.107,-0.172 | 6.611 | -0.097,29.459,19.556,2017-03-16 13:11:23,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.682 | 0.185,-0.282 | 6.423 | -0.014,0.215 | 6.479 | 0.108,-0.172 | 6.611 | -0.097,29.505,19.528,2017-03-16 13:11:23,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.682 | 0.186,-0.282 | 6.423 | -0.014,0.215 | 6.479 | 0.108,-0.172 | 6.611 | -0.097,29.545,19.504,2017-03-16 13:11:23,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.186,-0.282 | 6.423 | -0.014,0.215 | 6.479 | 0.109,-0.172 | 6.611 | -0.097,29.575,19.488,2017-03-16 13:11:24,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.186,-0.282 | 6.423 | -0.014,0.215 | 6.479 | 0.109,-0.172 | 6.611 | -0.097,29.599,19.478,2017-03-16 13:11:24,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.215 | 6.479 | 0.109,-0.172 | 6.612 | -0.097,29.616,19.474,2017-03-16 13:11:24,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.214 | 6.479 | 0.109,-0.172 | 6.612 | -0.097,29.629,19.473,2017-03-16 13:11:24,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.214 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.642,19.476,2017-03-16 13:11:24,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.214 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.655,19.480,2017-03-16 13:11:25,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.214 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.668,19.481,2017-03-16 13:11:25,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.214 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.678,19.483,2017-03-16 13:11:25,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.215 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.694,19.480,2017-03-16 13:11:25,1,335
0.011,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.215 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.702,19.488,2017-03-16 13:11:26,1,335
0.012,0.053 | 6.648 | 0.035,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.215 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.706,19.504,2017-03-16 13:11:26,1,335
0.012,0.053 | 6.648 | 0.036,0.131 | 6.683 | 0.187,-0.282 | 6.424 | -0.014,0.215 | 6.480 | 0.110,-0.172 | 6.612 | -0.097,29.711,19.519,2017-03-16 13:11:26,1,335
0.012,0.052 | 6.648 | 0.035,0.132 | 6.685 | 0.186,-0.310 | 6.454 | 0.010,0.215 | 6.481 | 0.108,-0.228 | 6.663 | -0.051,48.763,19.583,2017-03-16 13:11:26,1,335
0.006,0.038 | 6.656 | 0.024,0.119 | 6.706 | 0.179,-0.333 | 6.500 | 0.025,0.199 | 6.503 | 0.096,-0.287 | 6.728 | 0.014,66.190,17.246,2017-03-16 13:11:26,1,335
0.022,0.045 | 6.647 | 0.039,0.116 | 6.687 | 0.189,-0.305 | 6.473 | 0.031,0.197 | 6.483 | 0.109,-0.273 | 6.704 | 0.021,60.932,17.565,2017-03-16 13:11:27,1,335
0.023,0.048 | 6.646 | 0.040,0.120 | 6.676 | 0.188,-0.280 | 6.432 | 0.007,0.211 | 6.478 | 0.105,-0.248 | 6.661 | -0.023,49.093,20.607,2017-03-16 13:11:27,1,335
0.020,0.047 | 6.646 | 0.037,0.120 | 6.670 | 0.182,-0.258 | 6.400 | -0.015,0.217 | 6.476 | 0.096,-0.183 | 6.609 | -0.084,27.218,22.296,2017-03-16 13:11:27,1,335
0.015,0.043 | 6.646 | 0.033,0.124 | 6.671 | 0.178,-0.266 | 6.401 | -0.018,0.217 | 6.475 | 0.090,-0.159 | 6.593 | -0.097,18.838,23.208,2017-03-16 13:11:27,2,335
0.012,0.041 | 6.646 | 0.031,0.126 | 6.672 | 0.174,-0.278 | 6.403 | -0.019,0.217 | 6.476 | 0.088,-0.163 | 6.591 | -0.095,19.724,23.257,2017-03-16 13:11:27,2,335
0.011,0.041 | 6.646 | 0.030,0.126 | 6.672 | 0.173,-0.282 | 6.403 | -0.021,0.217 | 6.475 | 0.088,-0.167 | 6.593 | -0.093,20.818,23.260,2017-03-16 13:11:28,2,335
0.010,0.041 | 6.645 | 0.029,0.126 | 6.672 | 0.173,-0.289 | 6.410 | -0.024,0.217 | 6.475 | 0.088,-0.189 | 6.610 | -0.091,28.531,23.282,2017-03-16 13:11:28,2,335
0.011,0.042 | 6.645 | 0.029,0.119 | 6.671 | 0.169,-0.283 | 6.432 | -0.019,0.218 | 6.476 | 0.088,-0.246 | 6.661 | -0.039,49.017,23.008,2017-03-16 13:11:28,2,335
-0.004,0.038 | 6.657 | 0.009,0.117 | 6.701 | 0.155,-0.311 | 6.482 | -0.009,0.227 | 6.509 | 0.080,-0.282 | 6.713 | 0.007,60.151,23.739,2017-03-16 13:11:28,2,335
-0.005,0.037 | 6.659 | 0.004,0.117 | 6.709 | 0.151,-0.301 | 6.487 | -0.033,0.213 | 6.514 | 0.066,-0.284 | 6.719 | -0.008,58.278,21.140,2017-03-16 13:11:28,2,335
0.003,0.040 | 6.657 | 0.010,0.115 | 6.704 | 0.156,-0.295 | 6.476 | -0.033,0.213 | 6.509 | 0.075,-0.276 | 6.708 | -0.014,55.845,20.641,2017-03-16 13:11:29,2,335
0.023,0.048 | 6.645 | 0.034,0.120 | 6.674 | 0.172,-0.264 | 6.439 | -0.045,0.213 | 6.479 | 0.084,-0.250 | 6.671 | -0.028,50.693,19.575,2017-03-16 13:11:29,2,335
0.030,0.042 | 6.643 | 0.040,0.129 | 6.680 | 0.188,-0.294 | 6.450 | -0.019,0.219 | 6.484 | 0.098,-0.268 | 6.681 | -0.005,56.276,21.097,2017-03-16 13:11:29,2,335
0.027,0.037 | 6.647 | 0.035,0.140 | 6.692 | 0.187,-0.313 | 6.478 | -0.016,0.222 | 6.499 | 0.086,-0.285 | 6.709 | 0.001,61.068,22.400,2017-03-16 13:11:29,3,335
0.025,0.037 | 6.648 | 0.031,0.142 | 6.693 | 0.175,-0.303 | 6.480 | -0.025,0.222 | 6.500 | 0.072,-0.280 | 6.712 | -0.007,59.657,22.388,2017-03-16 13:11:30,3,335
0.025,0.037 | 6.648 | 0.030,0.141 | 6.692 | 0.169,-0.300 | 6.479 | -0.028,0.223 | 6.500 | 0.067,-0.277 | 6.710 | -0.012,59.155,22.385,2017-03-16 13:11:30,3,335
0.026,0.037 | 6.648 | 0.031,0.139 | 6.691 | 0.168,-0.300 | 6.479 | -0.029,0.223 | 6.499 | 0.067,-0.277 | 6.710 | -0.013,59.385,22.341,2017-03-16 13:11:30,3,335
0.027,0.036 | 6.647 | 0.031,0.137 | 6.690 | 0.169,-0.301 | 6.479 | -0.029,0.222 | 6.499 | 0.067,-0.278 | 6.710 | -0.012,59.599,22.374,2017-03-16 13:11:30,3,335
