Session: 456,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,16,Month:,Mar,Year:,2017
Track:,Beach,Speed:,fast,Time:,30 (sec),
Target Angle:,50,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,138.615,False
2,0,123.916,False
3,0,163.310,False
4,0,118.058,False
5,0,76.455,False
6,0,72.780,False
7,0,67.263,False
8,0,-4.417,False
9,0,-83.740,False
10,0,32.151,False
11,0,-7.765,False
12,0,14.397,False
13,0,22.433,False
14,0,23.671,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-03-16 13:21:26,0,336
0.075,0.016 | 6.663 | 0.087,0.225 | 6.315 | 0.169,-0.271 | 6.372 | -0.089,0.234 | 6.547 | 0.144,-0.167 | 6.560 | 0.001,0.000,0.000,2017-03-16 13:21:40,1,336
0.074,0.014 | 6.664 | 0.087,0.231 | 6.316 | 0.151,-0.299 | 6.403 | -0.108,0.224 | 6.548 | 0.131,-0.150 | 6.553 | -0.009,0.000,0.000,2017-03-16 13:21:41,1,336
0.082,0.005 | 6.664 | 0.095,0.243 | 6.326 | 0.151,-0.345 | 6.423 | -0.111,0.234 | 6.559 | 0.135,-0.173 | 6.553 | -0.023,0.000,0.000,2017-03-16 13:21:41,1,336
0.085,-0.036 | 6.660 | 0.099,0.220 | 6.349 | 0.148,-0.392 | 6.384 | -0.124,0.210 | 6.582 | 0.140,-0.238 | 6.545 | -0.055,0.000,0.000,2017-03-16 13:21:41,1,336
0.078,-0.047 | 6.663 | 0.092,0.243 | 6.343 | 0.171,-0.453 | 6.445 | -0.114,0.216 | 6.573 | 0.145,-0.286 | 6.596 | -0.054,35.645,39.887,2017-03-16 13:21:41,1,336
0.033,-0.072 | 6.665 | 0.050,0.216 | 6.352 | 0.096,-0.318 | 6.518 | 0.241,0.183 | 6.583 | 0.086,-0.321 | 6.582 | 0.017,28.080,38.569,2017-03-16 13:21:41,1,336
-0.041,-0.111 | 6.666 | -0.021,0.145 | 6.470 | 0.206,-0.277 | 6.770 | 0.177,0.096 | 6.570 | 0.001,-0.341 | 6.562 | 0.093,33.473,20.542,2017-03-16 13:21:42,1,336
-0.063,-0.130 | 6.670 | -0.044,0.075 | 6.556 | 0.201,-0.291 | 6.817 | 0.085,0.080 | 6.562 | -0.032,-0.388 | 6.606 | 0.087,43.242,23.963,2017-03-16 13:21:42,1,336
-0.063,-0.134 | 6.672 | -0.042,0.123 | 6.527 | 0.185,-0.314 | 6.831 | 0.058,0.088 | 6.563 | -0.043,-0.388 | 6.610 | 0.077,39.230,28.150,2017-03-16 13:21:42,1,336
-0.072,-0.140 | 6.670 | -0.055,0.075 | 6.631 | 0.184,-0.320 | 6.826 | 0.054,0.103 | 6.579 | -0.042,-0.385 | 6.602 | 0.062,33.020,34.814,2017-03-16 13:21:42,1,336
-0.079,-0.134 | 6.669 | -0.063,0.061 | 6.604 | 0.178,-0.311 | 6.813 | 0.059,0.111 | 6.585 | -0.049,-0.381 | 6.591 | 0.045,32.130,35.455,2017-03-16 13:21:42,1,336
-0.080,-0.126 | 6.668 | -0.064,0.060 | 6.571 | 0.188,-0.277 | 6.864 | 0.102,0.121 | 6.588 | -0.037,-0.383 | 6.657 | 0.103,51.695,35.414,2017-03-16 13:21:43,1,336
-0.054,-0.140 | 6.672 | -0.035,0.091 | 6.542 | 0.168,-0.214 | 6.983 | 0.247,0.133 | 6.610 | -0.051,-0.344 | 6.808 | 0.166,139.728,38.251,2017-03-16 13:21:43,1,336
-0.036,-0.149 | 6.665 | -0.023,0.058 | 6.469 | 0.153,-0.225 | 7.031 | 0.213,0.104 | 6.609 | -0.028,-0.351 | 6.837 | 0.182,165.296,29.642,2017-03-16 13:21:43,1,336
-0.047,-0.139 | 6.664 | -0.035,0.103 | 6.365 | 0.046,-0.241 | 7.025 | 0.182,0.081 | 6.585 | -0.028,-0.352 | 6.821 | 0.173,158.988,19.278,2017-03-16 13:21:43,1,336
-0.050,-0.128 | 6.666 | -0.039,0.104 | 6.348 | 0.040,-0.227 | 7.026 | 0.170,0.082 | 6.570 | -0.027,-0.334 | 6.819 | 0.177,154.275,18.888,2017-03-16 13:21:44,1,336
-0.049,-0.114 | 6.668 | -0.038,0.117 | 6.340 | 0.044,-0.213 | 7.017 | 0.162,0.097 | 6.562 | -0.025,-0.322 | 6.813 | 0.186,139.679,22.321,2017-03-16 13:21:44,1,336
-0.049,-0.113 | 6.669 | -0.038,0.119 | 6.340 | 0.044,-0.212 | 7.016 | 0.162,0.098 | 6.562 | -0.025,-0.322 | 6.812 | 0.187,138.615,22.684,2017-03-16 13:21:44,1,336
-0.048,-0.109 | 6.669 | -0.038,0.128 | 6.342 | 0.045,-0.204 | 7.004 | 0.154,0.108 | 6.564 | -0.024,-0.319 | 6.805 | 0.191,131.786,24.798,2017-03-16 13:21:44,2,336
-0.047,-0.110 | 6.669 | -0.037,0.126 | 6.343 | 0.045,-0.198 | 6.997 | 0.151,0.108 | 6.566 | -0.022,-0.317 | 6.801 | 0.194,131.798,25.170,2017-03-16 13:21:44,2,336
-0.041,-0.103 | 6.671 | -0.029,0.102 | 6.335 | 0.058,-0.201 | 7.006 | 0.158,0.100 | 6.556 | -0.017,-0.314 | 6.804 | 0.194,124.821,22.192,2017-03-16 13:21:44,2,336
-0.037,-0.090 | 6.673 | -0.023,0.099 | 6.332 | 0.071,-0.233 | 6.977 | 0.170,0.107 | 6.549 | -0.013,-0.327 | 6.764 | 0.187,89.100,21.187,2017-03-16 13:21:45,2,336
-0.041,-0.089 | 6.672 | -0.026,0.093 | 6.340 | 0.043,-0.117 | 6.758 | 0.142,0.127 | 6.563 | -0.014,-0.348 | 6.784 | 0.157,106.818,22.642,2017-03-16 13:21:45,2,336
-0.039,-0.112 | 6.668 | -0.026,0.073 | 6.344 | 0.051,-0.346 | 6.570 | 0.085,0.092 | 6.564 | -0.024,-0.338 | 6.776 | 0.194,125.614,18.740,2017-03-16 13:21:45,2,336
