Session: 457,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,16,Month:,Mar,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,49,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,25.969,False
2,0,27.472,False
3,0,29.029,False
4,0,26.840,False
5,0,27.016,False
6,0,9.369,False
7,0,3.016,False
8,0,16.816,False
9,0,18.610,False
10,0,16.408,False
11,0,10.946,False
12,0,17.733,False
13,0,20.074,False
14,0,19.797,False
15,0,19.712,False
16,0,19.113,False
17,0,7.997,False
18,0,6.393,False
19,0,9.004,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.083,-0.058 | 6.651 | 0.095,0.184 | 6.376 | 0.299,-0.504 | 6.410 | 0.166,0.135 | 6.543 | 0.144,-0.365 | 6.586 | 0.104,0.000,0.000,2017-03-16 13:29:03,0,337
0.095,-0.053 | 6.648 | 0.108,0.355 | 6.418 | 0.174,-0.413 | 6.362 | 0.073,0.208 | 6.581 | 0.096,-0.307 | 6.570 | 0.071,0.000,0.000,2017-03-16 13:29:03,1,337
0.128,-0.010 | 6.630 | 0.151,0.315 | 6.362 | 0.116,-0.290 | 6.342 | 0.097,0.224 | 6.574 | 0.081,-0.208 | 6.560 | 0.104,0.000,0.000,2017-03-16 13:29:03,1,337
0.096,-0.029 | 6.645 | 0.124,0.274 | 6.362 | 0.100,-0.323 | 6.352 | 0.077,0.171 | 6.571 | 0.089,-0.238 | 6.569 | 0.072,0.000,0.000,2017-03-16 13:29:03,1,337
0.074,-0.029 | 6.651 | 0.104,0.273 | 6.379 | 0.032,-0.312 | 6.367 | 0.093,0.163 | 6.582 | 0.065,-0.225 | 6.582 | 0.068,0.000,0.000,2017-03-16 13:29:03,1,337
0.037,-0.031 | 6.661 | 0.069,0.249 | 6.376 | 0.003,-0.271 | 6.405 | 0.155,0.147 | 6.584 | 0.026,-0.246 | 6.599 | 0.027,22.373,18.901,2017-03-16 13:29:04,1,337
0.003,-0.029 | 6.669 | 0.040,0.179 | 6.348 | 0.035,-0.121 | 6.447 | 0.220,0.123 | 6.571 | -0.001,-0.231 | 6.601 | 0.083,11.346,20.883,2017-03-16 13:29:04,1,337
-0.003,-0.022 | 6.671 | 0.033,0.196 | 6.342 | 0.050,-0.160 | 6.473 | 0.278,0.141 | 6.566 | 0.014,-0.213 | 6.609 | 0.096,5.256,26.864,2017-03-16 13:29:04,1,337
0.000,-0.023 | 6.672 | 0.032,0.218 | 6.343 | 0.042,-0.154 | 6.576 | 0.331,0.158 | 6.566 | 0.011,-0.222 | 6.621 | 0.112,6.713,32.160,2017-03-16 13:29:04,1,337
0.000,-0.027 | 6.671 | 0.028,0.245 | 6.353 | 0.021,-0.138 | 6.722 | 0.301,0.166 | 6.572 | 0.003,-0.230 | 6.626 | 0.110,8.706,33.304,2017-03-16 13:29:04,1,337
