Session: 140,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Beach,Speed:,slow,Time:,120 (sec),
Target Angle:,44,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,6,39.743,False
2,4,37.381,False
3,9,45.582,False
4,7,47.253,False
5,9,45.196,False
6,7,47.711,False
7,10,44.193,False
8,9,42.081,False
9,9,42.006,False
10,9,45.228,False
11,9,45.564,False
12,9,45.113,False
13,10,43.470,False
14,10,44.083,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-09-18 19:02:12,0,47
-0.025,-0.009 | 6.674 | -0.001,0.204 | 6.354 | 0.047,-0.149 | 6.338 | 0.141,0.154 | 6.537 | -0.087,-0.216 | 6.546 | 0.058,0.000,0.000,2017-09-18 19:02:26,1,47
-0.033,0.012 | 6.674 | -0.008,0.182 | 6.322 | 0.057,-0.139 | 6.343 | 0.129,0.154 | 6.523 | -0.058,-0.182 | 6.538 | 0.008,0.000,0.000,2017-09-18 19:02:26,1,47
-0.043,0.039 | 6.672 | -0.015,0.197 | 6.315 | 0.065,-0.244 | 6.420 | 0.159,0.188 | 6.516 | -0.053,-0.198 | 6.559 | -0.023,0.000,0.000,2017-09-18 19:02:26,1,47
-0.050,0.059 | 6.672 | -0.021,0.214 | 6.323 | 0.079,-0.260 | 6.453 | 0.166,0.214 | 6.516 | -0.051,-0.204 | 6.577 | -0.024,0.000,0.000,2017-09-18 19:02:27,1,47
-0.055,0.068 | 6.672 | -0.026,0.224 | 6.324 | 0.080,-0.164 | 6.391 | 0.131,0.223 | 6.516 | -0.053,-0.171 | 6.560 | -0.030,26.985,12.241,2017-09-18 19:02:27,1,47
-0.059,0.070 | 6.672 | -0.031,0.227 | 6.325 | 0.075,-0.126 | 6.370 | 0.116,0.225 | 6.516 | -0.058,-0.149 | 6.548 | -0.032,21.373,12.358,2017-09-18 19:02:27,1,47
-0.064,0.068 | 6.672 | -0.035,0.228 | 6.326 | 0.070,-0.124 | 6.365 | 0.114,0.224 | 6.517 | -0.064,-0.147 | 6.545 | -0.033,20.458,12.370,2017-09-18 19:02:27,1,47
-0.068,0.066 | 6.672 | -0.039,0.227 | 6.326 | 0.065,-0.124 | 6.362 | 0.111,0.221 | 6.517 | -0.068,-0.147 | 6.544 | -0.033,20.208,12.097,2017-09-18 19:02:27,1,47
-0.070,0.064 | 6.672 | -0.041,0.223 | 6.325 | 0.061,-0.125 | 6.360 | 0.109,0.218 | 6.518 | -0.071,-0.148 | 6.543 | -0.033,19.971,11.797,2017-09-18 19:02:28,1,47
-0.071,0.062 | 6.672 | -0.042,0.222 | 6.326 | 0.060,-0.125 | 6.360 | 0.110,0.216 | 6.518 | -0.072,-0.149 | 6.543 | -0.033,19.834,11.743,2017-09-18 19:02:28,1,47
-0.071,0.061 | 6.672 | -0.043,0.273 | 6.350 | 0.073,-0.173 | 6.408 | 0.161,0.228 | 6.519 | -0.081,-0.171 | 6.554 | -0.021,25.620,15.233,2017-09-18 19:02:28,1,47
-0.072,0.060 | 6.672 | -0.043,0.386 | 6.457 | 0.074,-0.258 | 6.513 | 0.196,0.290 | 6.543 | -0.120,-0.241 | 6.616 | -0.013,49.079,32.862,2017-09-18 19:02:28,1,47
-0.074,0.059 | 6.672 | -0.045,0.386 | 6.622 | 0.059,-0.250 | 6.554 | 0.202,0.355 | 6.614 | -0.172,-0.265 | 6.653 | -0.008,59.432,58.278,2017-09-18 19:02:29,1,47
-0.081,0.057 | 6.672 | -0.050,0.366 | 6.685 | 0.049,-0.263 | 6.573 | 0.209,0.386 | 6.700 | -0.183,-0.270 | 6.658 | -0.008,62.595,79.298,2017-09-18 19:02:29,1,47
