Session: 143,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Temple,Speed:,slow,Time:,120 (sec),
Target Angle:,45,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,10,44.350,False
2,9,43.714,False
3,10,44.092,False
4,8,42.893,False
5,9,43.549,False
6,10,45.945,False
7,10,45.645,False
8,10,45.319,False
9,10,44.640,False
10,9,43.892,False
11,9,46.310,False
12,10,44.741,False
13,10,45.045,False
14,8,42.263,False
15,10,45.253,False
16,9,46.796,False
17,10,45.717,False
18,10,44.998,False
19,9,43.424,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-09-18 19:07:58,0,48
-0.033,0.015 | 6.674 | -0.007,0.171 | 6.322 | 0.078,-0.155 | 6.334 | 0.074,0.204 | 6.531 | -0.021,-0.170 | 6.543 | -0.029,0.000,0.000,2017-09-18 19:08:06,1,48
-0.042,0.023 | 6.674 | -0.015,0.182 | 6.319 | 0.085,-0.153 | 6.336 | 0.087,0.197 | 6.525 | -0.025,-0.155 | 6.538 | -0.029,0.000,0.000,2017-09-18 19:08:06,1,48
-0.053,0.016 | 6.673 | -0.026,0.184 | 6.318 | 0.072,-0.157 | 6.332 | 0.088,0.181 | 6.524 | -0.038,-0.164 | 6.533 | -0.030,0.000,0.000,2017-09-18 19:08:07,1,48
-0.057,-0.009 | 6.673 | -0.029,0.178 | 6.320 | 0.067,-0.220 | 6.354 | 0.111,0.163 | 6.524 | -0.046,-0.212 | 6.539 | -0.030,0.000,0.000,2017-09-18 19:08:07,1,48
-0.056,-0.029 | 6.673 | -0.028,0.183 | 6.353 | 0.108,-0.272 | 6.388 | 0.145,0.153 | 6.525 | -0.046,-0.244 | 6.545 | -0.025,21.534,17.370,2017-09-18 19:08:07,1,48
-0.055,-0.044 | 6.673 | -0.027,0.271 | 6.416 | 0.114,-0.356 | 6.458 | 0.169,0.179 | 6.540 | -0.061,-0.303 | 6.569 | -0.029,34.655,28.153,2017-09-18 19:08:07,1,48
-0.054,-0.051 | 6.673 | -0.025,0.395 | 6.559 | 0.082,-0.488 | 6.588 | 0.168,0.256 | 6.614 | -0.097,-0.368 | 6.632 | -0.027,56.924,55.863,2017-09-18 19:08:07,1,48
-0.054,-0.052 | 6.673 | -0.025,0.392 | 6.571 | 0.090,-0.476 | 6.576 | 0.182,0.252 | 6.612 | -0.092,-0.361 | 6.622 | -0.016,53.608,54.361,2017-09-18 19:08:08,1,48
-0.054,-0.051 | 6.673 | -0.024,0.297 | 6.460 | 0.128,-0.335 | 6.437 | 0.200,0.190 | 6.556 | -0.056,-0.277 | 6.556 | 0.008,26.059,32.973,2017-09-18 19:08:08,1,48
-0.052,-0.051 | 6.673 | -0.023,0.206 | 6.391 | 0.142,-0.269 | 6.375 | 0.173,0.143 | 6.533 | -0.032,-0.232 | 6.539 | 0.011,13.507,20.055,2017-09-18 19:08:08,1,48
-0.049,-0.051 | 6.673 | -0.022,0.200 | 6.404 | 0.144,-0.260 | 6.374 | 0.173,0.103 | 6.521 | -0.033,-0.220 | 6.534 | 0.008,10.033,9.859,2017-09-18 19:08:08,1,48
-0.047,-0.050 | 6.673 | -0.020,0.227 | 6.418 | 0.133,-0.288 | 6.399 | 0.184,0.112 | 6.520 | -0.042,-0.221 | 6.534 | 0.007,10.650,11.842,2017-09-18 19:08:08,1,48
-0.044,-0.048 | 6.673 | -0.017,0.243 | 6.415 | 0.113,-0.312 | 6.411 | 0.183,0.133 | 6.522 | -0.063,-0.244 | 6.540 | 0.001,16.990,16.621,2017-09-18 19:08:09,1,48
-0.040,-0.046 | 6.673 | -0.012,0.252 | 6.421 | 0.096,-0.318 | 6.414 | 0.180,0.139 | 6.524 | -0.080,-0.262 | 6.546 | -0.003,21.886,18.268,2017-09-18 19:08:09,1,48
-0.036,-0.046 | 6.673 | -0.008,0.252 | 6.423 | 0.096,-0.316 | 6.416 | 0.182,0.139 | 6.524 | -0.082,-0.266 | 6.547 | -0.004,22.939,18.334,2017-09-18 19:08:09,1,48
-0.033,-0.046 | 6.673 | -0.005,0.251 | 6.422 | 0.097,-0.312 | 6.416 | 0.188,0.138 | 6.524 | -0.080,-0.264 | 6.547 | 0.001,22.493,18.182,2017-09-18 19:08:09,1,48
-0.030,-0.046 | 6.673 | -0.002,0.250 | 6.420 | 0.101,-0.309 | 6.415 | 0.192,0.138 | 6.523 | -0.076,-0.262 | 6.546 | 0.005,21.815,18.054,2017-09-18 19:08:10,1,48
-0.028,-0.045 | 6.673 | 0.000,0.250 | 6.416 | 0.105,-0.305 | 6.413 | 0.196,0.138 | 6.523 | -0.070,-0.257 | 6.544 | 0.009,20.659,18.058,2017-09-18 19:08:10,1,48
-0.027,-0.045 | 6.673 | 0.001,0.249 | 6.418 | 0.108,-0.303 | 6.412 | 0.197,0.138 | 6.523 | -0.068,-0.254 | 6.543 | 0.010,20.059,17.820,2017-09-18 19:08:10,1,48
-0.026,-0.044 | 6.673 | 0.002,0.248 | 6.419 | 0.110,-0.302 | 6.411 | 0.196,0.138 | 6.523 | -0.068,-0.253 | 6.542 | 0.010,19.810,17.691,2017-09-18 19:08:10,1,48
-0.025,-0.044 | 6.673 | 0.002,0.272 | 6.417 | 0.123,-0.352 | 6.433 | 0.186,0.171 | 6.534 | -0.052,-0.288 | 6.559 | 0.000,29.879,26.117,2017-09-18 19:08:10,1,48
-0.025,-0.043 | 6.673 | 0.003,0.365 | 6.464 | 0.077,-0.453 | 6.520 | 0.173,0.237 | 6.582 | -0.078,-0.354 | 6.622 | -0.013,53.614,46.388,2017-09-18 19:08:11,1,48
-0.027,-0.041 | 6.673 | 0.003,0.366 | 6.486 | 0.064,-0.446 | 6.548 | 0.184,0.263 | 6.616 | -0.099,-0.370 | 6.651 | -0.011,62.159,56.027,2017-09-18 19:08:11,1,48
-0.030,-0.040 | 6.673 | 0.000,0.350 | 6.485 | 0.077,-0.412 | 6.542 | 0.193,0.263 | 6.614 | -0.097,-0.372 | 6.657 | -0.005,63.968,55.054,2017-09-18 19:08:11,1,48
-0.032,-0.039 | 6.672 | -0.002,0.344 | 6.482 | 0.091,-0.375 | 6.516 | 0.201,0.249 | 6.594 | -0.089,-0.358 | 6.633 | 0.000,57.020,48.738,2017-09-18 19:08:11,1,48
-0.033,-0.039 | 6.672 | -0.002,0.343 | 6.482 | 0.099,-0.370 | 6.499 | 0.212,0.236 | 6.580 | -0.084,-0.326 | 6.594 | 0.004,44.350,44.007,2017-09-18 19:08:11,1,48
-0.032,-0.040 | 6.672 | -0.002,0.332 | 6.492 | 0.117,-0.358 | 6.494 | 0.212,0.214 | 6.561 | -0.072,-0.282 | 6.556 | 0.001,29.660,36.949,2017-09-18 19:08:12,2,48
-0.031,-0.040 | 6.672 | -0.001,0.329 | 6.496 | 0.125,-0.366 | 6.504 | 0.212,0.212 | 6.559 | -0.066,-0.308 | 6.573 | -0.003,37.737,36.826,2017-09-18 19:08:12,2,48
-0.029,-0.040 | 6.672 | 0.000,0.336 | 6.495 | 0.125,-0.377 | 6.515 | 0.210,0.218 | 6.562 | -0.065,-0.326 | 6.589 | -0.005,43.818,38.561,2017-09-18 19:08:12,2,48
-0.028,-0.039 | 6.672 | 0.001,0.331 | 6.477 | 0.122,-0.365 | 6.492 | 0.208,0.215 | 6.559 | -0.063,-0.301 | 6.569 | -0.003,35.413,37.584,2017-09-18 19:08:12,2,48
-0.027,-0.039 | 6.672 | 0.003,0.280 | 6.429 | 0.120,-0.327 | 6.444 | 0.198,0.169 | 6.533 | -0.057,-0.265 | 6.547 | -0.002,24.839,24.196,2017-09-18 19:08:12,2,48
-0.025,-0.039 | 6.672 | 0.004,0.255 | 6.430 | 0.108,-0.315 | 6.432 | 0.195,0.134 | 6.521 | -0.069,-0.256 | 6.543 | -0.001,22.047,14.865,2017-09-18 19:08:13,2,48
-0.023,-0.039 | 6.672 | 0.005,0.247 | 6.437 | 0.114,-0.312 | 6.432 | 0.198,0.133 | 6.521 | -0.071,-0.253 | 6.542 | 0.001,21.131,14.987,2017-09-18 19:08:13,2,48
-0.022,-0.040 | 6.672 | 0.007,0.243 | 6.435 | 0.123,-0.306 | 6.433 | 0.204,0.138 | 6.522 | -0.066,-0.250 | 6.541 | 0.005,20.211,16.283,2017-09-18 19:08:13,2,48
-0.021,-0.040 | 6.672 | 0.008,0.243 | 6.428 | 0.127,-0.304 | 6.432 | 0.206,0.140 | 6.522 | -0.060,-0.248 | 6.540 | 0.008,19.759,16.994,2017-09-18 19:08:13,2,48
