Session: 146,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,slow,Time:,120 (sec),
Target Angle:,45,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,10,45.242,False
2,9,43.640,False
3,10,44.356,False
4,10,44.483,False
5,10,44.648,False
6,10,44.478,False
7,7,41.365,False
8,10,45.282,False
9,9,46.337,False
10,3,52.271,False
11,10,44.515,False
12,10,45.225,False
13,9,46.694,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-09-18 19:23:38,0,51
0.022,-0.037 | 6.672 | 0.047,0.313 | 6.920 | 0.205,-0.131 | 6.350 | 0.177,0.260 | 6.700 | 0.148,-0.210 | 6.528 | 0.048,0.000,0.000,2017-09-18 19:24:13,1,51
0.027,-0.044 | 6.673 | 0.052,0.403 | 6.572 | 0.174,-0.173 | 6.330 | 0.179,0.194 | 6.557 | 0.072,-0.203 | 6.524 | 0.054,0.000,0.000,2017-09-18 19:24:14,1,51
0.019,-0.051 | 6.673 | 0.044,0.205 | 6.329 | 0.097,-0.306 | 6.337 | 0.145,0.134 | 6.525 | -0.008,-0.258 | 6.538 | 0.036,0.000,0.000,2017-09-18 19:24:14,1,51
0.003,-0.060 | 6.674 | 0.028,0.257 | 6.347 | 0.015,-0.401 | 6.378 | 0.152,0.158 | 6.546 | -0.053,-0.298 | 6.554 | 0.040,0.000,0.000,2017-09-18 19:24:14,1,51
-0.024,-0.061 | 6.675 | 0.002,0.228 | 6.345 | -0.006,-0.336 | 6.350 | 0.148,0.146 | 6.548 | -0.084,-0.291 | 6.551 | 0.040,27.199,24.204,2017-09-18 19:24:14,1,51
-0.049,-0.038 | 6.673 | -0.023,0.167 | 6.332 | 0.059,-0.172 | 6.317 | 0.088,0.139 | 6.525 | -0.069,-0.205 | 6.529 | -0.001,9.555,16.437,2017-09-18 19:24:14,1,51
-0.058,0.003 | 6.673 | -0.033,0.163 | 6.314 | 0.064,-0.145 | 6.317 | 0.080,0.159 | 6.519 | -0.048,-0.160 | 6.529 | -0.016,8.831,10.282,2017-09-18 19:24:15,1,51
-0.065,0.027 | 6.673 | -0.040,0.198 | 6.306 | 0.051,-0.161 | 6.327 | 0.077,0.183 | 6.517 | -0.047,-0.148 | 6.536 | -0.025,11.902,9.949,2017-09-18 19:24:15,1,51
-0.070,0.033 | 6.673 | -0.045,0.270 | 6.310 | 0.000,-0.216 | 6.339 | 0.059,0.206 | 6.518 | -0.082,-0.169 | 6.544 | -0.042,19.188,14.261,2017-09-18 19:24:15,1,51
-0.072,0.034 | 6.673 | -0.047,0.180 | 6.336 | 0.047,-0.211 | 6.347 | 0.076,0.213 | 6.520 | -0.092,-0.177 | 6.550 | -0.034,21.538,16.081,2017-09-18 19:24:15,1,51
-0.071,0.035 | 6.673 | -0.046,0.157 | 6.365 | 0.030,-0.304 | 6.392 | 0.091,0.246 | 6.531 | -0.107,-0.193 | 6.560 | -0.026,25.593,25.327,2017-09-18 19:24:16,1,51
-0.070,0.034 | 6.673 | -0.045,0.159 | 6.374 | 0.027,-0.295 | 6.384 | 0.093,0.254 | 6.536 | -0.111,-0.197 | 6.561 | -0.023,26.045,28.275,2017-09-18 19:24:16,1,51
-0.069,0.031 | 6.673 | -0.044,0.150 | 6.375 | 0.027,-0.153 | 6.341 | 0.052,0.249 | 6.536 | -0.109,-0.197 | 6.558 | -0.023,25.302,27.542,2017-09-18 19:24:16,1,51
-0.068,0.028 | 6.673 | -0.043,0.138 | 6.373 | 0.034,-0.153 | 6.334 | 0.044,0.237 | 6.531 | -0.105,-0.193 | 6.553 | -0.026,23.504,25.000,2017-09-18 19:24:16,1,51
-0.068,0.027 | 6.673 | -0.043,0.124 | 6.371 | 0.038,-0.261 | 6.344 | 0.057,0.227 | 6.528 | -0.101,-0.190 | 6.550 | -0.028,22.158,22.737,2017-09-18 19:24:16,1,51
-0.068,0.026 | 6.673 | -0.043,0.122 | 6.364 | 0.037,-0.150 | 6.332 | 0.048,0.223 | 6.526 | -0.097,-0.189 | 6.549 | -0.028,21.487,21.623,2017-09-18 19:24:17,1,51
-0.067,0.026 | 6.673 | -0.042,0.128 | 6.357 | 0.039,-0.162 | 6.330 | 0.051,0.220 | 6.525 | -0.095,-0.187 | 6.548 | -0.028,20.992,21.096,2017-09-18 19:24:17,1,51
-0.067,0.025 | 6.673 | -0.042,0.124 | 6.358 | 0.040,-0.181 | 6.329 | 0.057,0.218 | 6.525 | -0.092,-0.186 | 6.547 | -0.027,20.560,20.793,2017-09-18 19:24:17,1,51
-0.067,0.024 | 6.673 | -0.042,0.129 | 6.352 | 0.040,-0.147 | 6.330 | 0.052,0.217 | 6.524 | -0.090,-0.185 | 6.546 | -0.027,20.227,20.543,2017-09-18 19:24:17,1,51
-0.067,0.024 | 6.673 | -0.042,0.133 | 6.351 | 0.043,-0.152 | 6.329 | 0.052,0.216 | 6.524 | -0.089,-0.185 | 6.546 | -0.027,20.011,20.365,2017-09-18 19:24:17,1,51
-0.066,0.023 | 6.673 | -0.041,0.115 | 6.360 | 0.045,-0.162 | 6.329 | 0.059,0.215 | 6.524 | -0.087,-0.185 | 6.545 | -0.026,19.866,20.217,2017-09-18 19:24:18,1,51
-0.066,0.022 | 6.673 | -0.041,0.121 | 6.355 | 0.044,-0.167 | 6.327 | 0.055,0.214 | 6.524 | -0.086,-0.185 | 6.545 | -0.025,19.803,20.065,2017-09-18 19:24:18,1,51
-0.065,0.021 | 6.673 | -0.040,0.114 | 6.358 | 0.045,-0.164 | 6.327 | 0.056,0.212 | 6.524 | -0.086,-0.186 | 6.545 | -0.025,19.759,19.770,2017-09-18 19:24:18,1,51
-0.065,0.020 | 6.673 | -0.040,0.288 | 6.325 | 0.008,-0.154 | 6.326 | 0.049,0.207 | 6.523 | -0.085,-0.187 | 6.544 | -0.025,19.917,18.898,2017-09-18 19:24:18,1,51
-0.065,0.018 | 6.673 | -0.040,0.290 | 6.324 | 0.000,-0.135 | 6.330 | 0.046,0.202 | 6.522 | -0.086,-0.191 | 6.544 | -0.026,20.611,17.961,2017-09-18 19:24:18,1,51
-0.066,0.016 | 6.673 | -0.041,0.283 | 6.324 | 0.003,-0.143 | 6.330 | 0.045,0.199 | 6.522 | -0.086,-0.197 | 6.544 | -0.030,21.650,17.616,2017-09-18 19:24:19,1,51
-0.067,0.014 | 6.673 | -0.042,0.136 | 6.360 | 0.066,-0.290 | 6.356 | 0.072,0.199 | 6.523 | -0.088,-0.205 | 6.546 | -0.033,23.409,17.956,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.145 | 6.342 | 0.042,-0.300 | 6.364 | 0.078,0.202 | 6.525 | -0.090,-0.209 | 6.548 | -0.033,24.369,18.923,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.169 | 6.331 | 0.033,-0.291 | 6.361 | 0.080,0.203 | 6.525 | -0.092,-0.209 | 6.548 | -0.032,24.325,19.356,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.192 | 6.320 | 0.017,-0.287 | 6.359 | 0.081,0.203 | 6.526 | -0.092,-0.208 | 6.548 | -0.031,23.984,19.536,2017-09-18 19:24:20,1,51
-0.068,0.012 | 6.673 | -0.043,0.216 | 6.315 | 0.007,-0.284 | 6.358 | 0.084,0.203 | 6.526 | -0.092,-0.206 | 6.547 | -0.029,23.283,19.634,2017-09-18 19:24:20,1,51
-0.068,0.011 | 6.673 | -0.044,0.194 | 6.323 | 0.022,-0.281 | 6.357 | 0.085,0.203 | 6.526 | -0.093,-0.204 | 6.546 | -0.028,22.583,19.852,2017-09-18 19:24:20,1,51
