Session: 147,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,46,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,8,48.150,False
2,0,23.769,False
3,10,45.562,False
4,6,50.184,False
5,10,46.871,False
6,0,21.538,False
7,2,54.795,False
8,6,41.315,False
9,8,43.532,False
10,10,46.230,False
11,5,51.273,False
12,8,43.325,False
13,9,44.179,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-09-18 19:28:22,0,53
-0.056,0.002 | 6.666 | -0.025,0.457 | 6.459 | 0.085,-0.446 | 6.457 | 0.067,0.301 | 6.592 | -0.026,-0.295 | 6.601 | -0.036,0.000,0.000,2017-09-18 19:28:40,1,53
-0.017,-0.005 | 6.667 | 0.010,0.341 | 6.378 | 0.150,-0.336 | 6.374 | 0.140,0.229 | 6.538 | 0.023,-0.244 | 6.554 | 0.025,0.000,0.000,2017-09-18 19:28:41,1,53
0.002,-0.010 | 6.668 | 0.029,0.290 | 6.362 | 0.175,-0.297 | 6.352 | 0.166,0.196 | 6.523 | 0.036,-0.217 | 6.539 | 0.053,0.000,0.000,2017-09-18 19:28:41,1,53
0.010,-0.011 | 6.669 | 0.037,0.365 | 6.398 | 0.163,-0.438 | 6.428 | 0.129,0.223 | 6.539 | 0.043,-0.270 | 6.564 | 0.042,0.000,0.000,2017-09-18 19:28:41,1,53
0.014,-0.010 | 6.669 | 0.041,0.530 | 6.594 | 0.103,-0.569 | 6.615 | 0.022,0.311 | 6.621 | 0.028,-0.341 | 6.655 | -0.002,67.446,60.776,2017-09-18 19:28:41,1,53
0.016,-0.007 | 6.669 | 0.044,0.553 | 6.644 | 0.092,-0.574 | 6.642 | -0.053,0.332 | 6.656 | 0.017,-0.347 | 6.692 | -0.040,74.674,70.677,2017-09-18 19:28:41,1,53
0.016,-0.006 | 6.669 | 0.045,0.545 | 6.625 | 0.112,-0.574 | 6.649 | -0.031,0.334 | 6.657 | 0.019,-0.346 | 6.695 | -0.045,74.677,70.922,2017-09-18 19:28:42,1,53
0.016,-0.006 | 6.669 | 0.046,0.543 | 6.621 | 0.117,-0.568 | 6.632 | 0.008,0.333 | 6.653 | 0.023,-0.346 | 6.690 | -0.032,73.488,69.960,2017-09-18 19:28:42,1,53
0.016,-0.006 | 6.669 | 0.046,0.548 | 6.629 | 0.108,-0.566 | 6.621 | 0.020,0.333 | 6.654 | 0.021,-0.345 | 6.683 | -0.021,72.432,69.831,2017-09-18 19:28:42,1,53
0.017,-0.005 | 6.669 | 0.047,0.547 | 6.617 | 0.104,-0.559 | 6.608 | 0.049,0.333 | 6.653 | 0.017,-0.342 | 6.672 | -0.005,71.138,69.304,2017-09-18 19:28:42,1,53
0.018,-0.004 | 6.669 | 0.048,0.547 | 6.610 | 0.097,-0.559 | 6.610 | 0.055,0.332 | 6.647 | 0.014,-0.340 | 6.669 | 0.002,70.669,68.079,2017-09-18 19:28:42,1,53
0.018,-0.005 | 6.669 | 0.048,0.561 | 6.650 | 0.067,-0.584 | 6.713 | 0.017,0.337 | 6.663 | 0.004,-0.352 | 6.716 | -0.007,82.115,72.847,2017-09-18 19:28:43,1,53
0.016,-0.007 | 6.668 | 0.047,0.570 | 6.697 | 0.038,-0.590 | 6.789 | -0.006,0.342 | 6.695 | -0.010,-0.358 | 6.771 | -0.021,94.154,81.035,2017-09-18 19:28:43,1,53
0.014,-0.010 | 6.668 | 0.046,0.569 | 6.700 | 0.038,-0.592 | 6.775 | 0.005,0.341 | 6.703 | -0.013,-0.361 | 6.780 | -0.022,95.782,82.024,2017-09-18 19:28:43,1,53
