Session: 315,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Beach,Speed:,slow,Time:,120 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,56.017,False
2,3,49.780,False
3,8,44.449,False
4,0,60.338,False
5,1,32.853,True
6,0,11.436,False
7,8,44.606,False
8,0,52.317,False
9,0,67.651,False
10,0,26.115,True
11,0,22.178,True
12,9,43.047,False
13,0,28.464,False
14,10,41.998,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.011,0.000 | 6.675 | 0.016,0.590 | 6.773 | -0.018,-0.590 | 6.773 | -0.018,0.357 | 6.780 | -0.018,-0.357 | 6.780 | -0.018,0.000,0.000,2017-02-15 11:16:14,0,310
0.147,-0.003 | 6.655 | 0.156,0.213 | 6.381 | 0.277,-0.198 | 6.356 | 0.302,0.224 | 6.587 | 0.168,-0.234 | 6.567 | 0.209,0.000,0.000,2017-02-15 11:16:17,1,310
0.187,0.005 | 6.645 | 0.202,0.185 | 6.328 | 0.262,-0.181 | 6.317 | 0.281,0.182 | 6.543 | 0.173,-0.195 | 6.536 | 0.201,0.000,0.000,2017-02-15 11:16:18,1,310
0.228,0.034 | 6.636 | 0.251,0.279 | 6.348 | 0.252,-0.160 | 6.308 | 0.318,0.239 | 6.571 | 0.198,-0.160 | 6.525 | 0.232,0.000,0.000,2017-02-15 11:16:18,1,310
0.200,0.027 | 6.641 | 0.222,0.228 | 6.355 | 0.239,-0.151 | 6.310 | 0.304,0.213 | 6.576 | 0.166,-0.163 | 6.530 | 0.229,0.000,0.000,2017-02-15 11:16:18,1,310
0.155,0.007 | 6.649 | 0.175,0.237 | 6.423 | 0.294,-0.187 | 6.322 | 0.261,0.248 | 6.591 | 0.133,-0.197 | 6.540 | 0.178,28.376,23.966,2017-02-15 11:16:18,1,310
0.144,0.002 | 6.653 | 0.165,0.206 | 6.534 | 0.311,-0.180 | 6.333 | 0.253,0.324 | 6.676 | 0.168,-0.204 | 6.545 | 0.159,29.338,52.860,2017-02-15 11:16:19,1,310
0.141,0.001 | 6.654 | 0.162,0.154 | 6.617 | 0.295,-0.174 | 6.337 | 0.257,0.337 | 6.736 | 0.213,-0.206 | 6.543 | 0.154,30.255,67.872,2017-02-15 11:16:19,1,310
0.137,-0.004 | 6.655 | 0.158,0.129 | 6.641 | 0.302,-0.172 | 6.337 | 0.261,0.327 | 6.718 | 0.208,-0.209 | 6.539 | 0.150,30.783,61.362,2017-02-15 11:16:19,1,310
0.132,-0.011 | 6.655 | 0.154,0.102 | 6.627 | 0.320,-0.177 | 6.336 | 0.261,0.273 | 6.632 | 0.161,-0.218 | 6.537 | 0.149,31.040,35.740,2017-02-15 11:16:19,1,310
