Session: 318,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,43,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,59.609,True
2,0,18.076,False
3,0,54.697,True
4,4,49.148,False
5,0,55.338,False
6,0,21.320,False
7,0,16.879,False
8,7,46.795,False
9,3,50.219,True
10,0,57.314,False
11,10,42.893,True
12,8,45.280,True
13,0,30.911,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.184,0.024 | 6.596 | 0.184,0.306 | 6.410 | 0.582,-0.216 | 6.304 | 0.350,0.250 | 6.488 | 0.369,-0.186 | 6.502 | 0.230,0.000,0.000,2017-02-15 11:30:03,0,314
0.187,0.025 | 6.591 | 0.187,0.208 | 6.234 | 0.433,-0.194 | 6.283 | 0.075,0.216 | 6.425 | 0.300,-0.173 | 6.511 | 0.120,0.000,0.000,2017-02-15 11:30:03,1,314
0.185,0.024 | 6.592 | 0.185,0.207 | 6.235 | 0.433,-0.200 | 6.286 | 0.070,0.214 | 6.424 | 0.296,-0.172 | 6.515 | 0.108,0.000,0.000,2017-02-15 11:30:03,1,314
0.179,0.017 | 6.605 | 0.180,0.218 | 6.246 | 0.418,-0.202 | 6.293 | 0.086,0.209 | 6.442 | 0.293,-0.175 | 6.524 | 0.097,0.000,0.000,2017-02-15 11:30:04,1,314
0.206,0.000 | 6.618 | 0.212,0.224 | 6.265 | 0.329,-0.184 | 6.325 | 0.159,0.243 | 6.474 | 0.227,-0.183 | 6.550 | 0.098,0.000,0.000,2017-02-15 11:30:04,1,314
0.205,0.001 | 6.627 | 0.214,0.085 | 6.379 | 0.281,-0.114 | 6.356 | 0.246,0.266 | 6.506 | 0.206,-0.209 | 6.546 | 0.149,19.559,43.193,2017-02-15 11:30:04,1,314
0.217,-0.008 | 6.634 | 0.230,0.080 | 6.445 | 0.250,-0.102 | 6.340 | 0.176,0.278 | 6.550 | 0.184,-0.205 | 6.549 | 0.159,18.072,47.732,2017-02-15 11:30:04,1,314
0.199,-0.012 | 6.636 | 0.213,0.139 | 6.512 | 0.270,0.027 | 6.424 | 0.214,0.317 | 6.634 | 0.180,-0.184 | 6.520 | 0.192,15.695,59.032,2017-02-15 11:30:05,1,314
0.171,-0.015 | 6.638 | 0.180,0.122 | 6.544 | 0.282,0.046 | 6.462 | 0.199,0.305 | 6.637 | 0.172,-0.182 | 6.508 | 0.183,16.321,52.219,2017-02-15 11:30:05,1,314
0.150,-0.015 | 6.642 | 0.157,0.125 | 6.516 | 0.249,0.024 | 6.459 | 0.198,0.294 | 6.625 | 0.131,-0.195 | 6.524 | 0.149,18.079,48.119,2017-02-15 11:30:05,1,314
0.139,-0.014 | 6.645 | 0.153,0.044 | 6.473 | 0.193,-0.034 | 6.459 | 0.195,0.236 | 6.569 | 0.103,-0.223 | 6.554 | 0.098,22.611,33.022,2017-02-15 11:30:05,1,314
0.134,-0.011 | 6.646 | 0.152,-0.003 | 6.453 | 0.172,-0.070 | 6.467 | 0.187,0.210 | 6.534 | 0.121,-0.223 | 6.580 | 0.052,21.926,28.443,2017-02-15 11:30:05,1,314
0.128,-0.010 | 6.646 | 0.148,-0.006 | 6.453 | 0.175,-0.052 | 6.474 | 0.169,0.210 | 6.523 | 0.123,-0.213 | 6.581 | 0.039,18.438,30.493,2017-02-15 11:30:06,1,314
0.120,-0.010 | 6.647 | 0.141,0.038 | 6.456 | 0.185,-0.021 | 6.482 | 0.166,0.242 | 6.541 | 0.110,-0.210 | 6.565 | 0.057,15.958,40.146,2017-02-15 11:30:06,1,314
0.117,-0.012 | 6.648 | 0.138,0.113 | 6.481 | 0.215,0.023 | 6.496 | 0.170,0.288 | 6.588 | 0.104,-0.196 | 6.545 | 0.106,11.882,54.498,2017-02-15 11:30:06,1,314
0.118,-0.012 | 6.647 | 0.138,0.159 | 6.526 | 0.226,0.045 | 6.481 | 0.186,0.320 | 6.642 | 0.104,-0.178 | 6.536 | 0.143,8.415,67.332,2017-02-15 11:30:06,1,314
0.122,-0.012 | 6.646 | 0.140,0.169 | 6.563 | 0.231,0.049 | 6.455 | 0.198,0.330 | 6.679 | 0.109,-0.169 | 6.525 | 0.153,9.006,71.396,2017-02-15 11:30:06,1,314
0.124,-0.011 | 6.645 | 0.141,0.129 | 6.548 | 0.250,0.044 | 6.450 | 0.202,0.305 | 6.627 | 0.118,-0.172 | 6.521 | 0.150,10.904,55.084,2017-02-15 11:30:07,1,314
0.120,-0.007 | 6.642 | 0.136,0.077 | 6.502 | 0.232,-0.004 | 6.441 | 0.205,0.257 | 6.571 | 0.101,-0.205 | 6.529 | 0.125,19.969,36.666,2017-02-15 11:30:07,1,314
0.115,-0.005 | 6.642 | 0.132,-0.002 | 6.468 | 0.189,-0.080 | 6.440 | 0.182,0.210 | 6.535 | 0.117,-0.240 | 6.562 | 0.066,30.638,23.369,2017-02-15 11:30:07,1,314
0.117,-0.004 | 6.640 | 0.133,-0.041 | 6.440 | 0.183,-0.082 | 6.457 | 0.169,0.174 | 6.516 | 0.135,-0.239 | 6.575 | 0.044,30.585,15.229,2017-02-15 11:30:07,1,314
0.119,-0.004 | 6.638 | 0.135,-0.049 | 6.415 | 0.173,-0.076 | 6.460 | 0.172,0.162 | 6.507 | 0.137,-0.233 | 6.574 | 0.043,27.751,13.387,2017-02-15 11:30:08,1,314
0.121,-0.004 | 6.636 | 0.136,-0.044 | 6.403 | 0.165,-0.076 | 6.438 | 0.170,0.164 | 6.502 | 0.130,-0.227 | 6.568 | 0.048,24.621,15.277,2017-02-15 11:30:08,1,314
0.122,-0.005 | 6.635 | 0.137,0.031 | 6.324 | 0.125,-0.139 | 6.343 | 0.118,0.179 | 6.504 | 0.121,-0.209 | 6.556 | 0.052,18.423,19.510,2017-02-15 11:30:08,1,314
0.120,-0.005 | 6.634 | 0.134,0.071 | 6.303 | 0.111,-0.118 | 6.331 | 0.120,0.186 | 6.506 | 0.105,-0.193 | 6.543 | 0.058,13.762,21.468,2017-02-15 11:30:08,1,314
0.117,-0.004 | 6.634 | 0.132,0.097 | 6.286 | 0.138,-0.113 | 6.328 | 0.145,0.171 | 6.501 | 0.088,-0.180 | 6.533 | 0.056,10.338,17.782,2017-02-15 11:30:08,1,314
0.118,-0.003 | 6.634 | 0.133,0.161 | 6.271 | 0.056,-0.187 | 6.299 | 0.081,0.168 | 6.504 | 0.067,-0.176 | 6.530 | 0.052,9.897,17.331,2017-02-15 11:30:09,1,314
0.118,-0.006 | 6.631 | 0.133,0.183 | 6.284 | -0.008,-0.208 | 6.303 | 0.001,0.171 | 6.511 | 0.045,-0.183 | 6.531 | 0.042,11.963,19.418,2017-02-15 11:30:09,1,314
0.116,-0.008 | 6.630 | 0.131,0.179 | 6.316 | -0.082,-0.189 | 6.316 | -0.037,0.173 | 6.520 | 0.031,-0.190 | 6.542 | 0.022,14.685,20.707,2017-02-15 11:30:09,1,314
0.115,-0.009 | 6.630 | 0.130,0.172 | 6.340 | -0.117,-0.181 | 6.326 | -0.052,0.173 | 6.524 | 0.027,-0.191 | 6.550 | 0.012,15.491,20.979,2017-02-15 11:30:09,1,314
0.115,-0.008 | 6.630 | 0.131,0.173 | 6.343 | -0.120,-0.176 | 6.329 | -0.054,0.173 | 6.524 | 0.026,-0.190 | 6.552 | 0.010,15.240,20.969,2017-02-15 11:30:09,1,314
0.115,-0.008 | 6.629 | 0.130,0.176 | 6.337 | -0.113,-0.173 | 6.327 | -0.053,0.175 | 6.521 | 0.029,-0.188 | 6.551 | 0.010,14.997,20.994,2017-02-15 11:30:10,1,314
0.112,-0.007 | 6.627 | 0.127,0.177 | 6.316 | -0.087,-0.172 | 6.324 | -0.051,0.176 | 6.517 | 0.031,-0.188 | 6.549 | 0.010,15.125,20.955,2017-02-15 11:30:10,1,314
0.121,-0.005 | 6.632 | 0.138,0.162 | 6.303 | 0.108,-0.171 | 6.329 | -0.041,0.176 | 6.525 | 0.036,-0.190 | 6.553 | 0.021,16.036,20.620,2017-02-15 11:30:10,1,314
0.135,-0.011 | 6.634 | 0.152,0.094 | 6.386 | 0.191,-0.172 | 6.333 | -0.033,0.201 | 6.538 | 0.050,-0.193 | 6.556 | 0.032,16.017,28.872,2017-02-15 11:30:10,1,314
0.140,-0.018 | 6.635 | 0.157,0.100 | 6.468 | 0.212,-0.179 | 6.335 | -0.033,0.269 | 6.576 | 0.093,-0.199 | 6.557 | 0.035,17.185,49.457,2017-02-15 11:30:10,1,314
0.139,-0.019 | 6.636 | 0.156,0.117 | 6.520 | 0.240,-0.193 | 6.325 | 0.006,0.302 | 6.610 | 0.130,-0.202 | 6.556 | 0.036,18.418,60.199,2017-02-15 11:30:11,1,314
0.138,-0.018 | 6.636 | 0.155,0.121 | 6.539 | 0.254,-0.202 | 6.326 | 0.104,0.316 | 6.626 | 0.159,-0.203 | 6.552 | 0.044,18.709,64.712,2017-02-15 11:30:11,1,314
0.138,-0.016 | 6.636 | 0.154,0.123 | 6.549 | 0.267,-0.112 | 6.366 | 0.204,0.317 | 6.627 | 0.165,-0.212 | 6.538 | 0.082,20.177,64.595,2017-02-15 11:30:11,1,314
0.147,-0.015 | 6.636 | 0.161,0.123 | 6.548 | 0.272,-0.004 | 6.448 | 0.210,0.314 | 6.626 | 0.164,-0.213 | 6.526 | 0.144,20.308,61.011,2017-02-15 11:30:11,1,314
0.152,-0.015 | 6.638 | 0.165,0.125 | 6.539 | 0.263,0.024 | 6.444 | 0.190,0.315 | 6.630 | 0.163,-0.196 | 6.519 | 0.171,15.584,60.727,2017-02-15 11:30:12,1,314
0.154,-0.014 | 6.638 | 0.166,0.123 | 6.537 | 0.255,0.029 | 6.433 | 0.191,0.313 | 6.629 | 0.158,-0.188 | 6.516 | 0.174,13.495,60.139,2017-02-15 11:30:12,1,314
0.153,-0.014 | 6.638 | 0.165,0.115 | 6.534 | 0.252,0.033 | 6.431 | 0.193,0.309 | 6.622 | 0.157,-0.184 | 6.515 | 0.173,12.216,58.118,2017-02-15 11:30:12,1,314
