Session: 320,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.742,False
2,0,53.798,True
3,9,40.221,True
4,8,39.987,True
5,0,29.126,True
6,0,26.487,False
7,0,19.157,True
8,0,69.842,True
9,1,51.008,True
10,6,37.004,True
11,3,34.494,True
12,0,24.061,True
13,0,22.154,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.173,0.018 | 6.616 | 0.165,0.280 | 6.489 | 0.622,-0.191 | 6.381 | 0.353,0.241 | 6.576 | 0.409,-0.211 | 6.552 | 0.195,0.000,0.000,2017-02-15 11:43:51,0,316
0.179,0.018 | 6.611 | 0.170,0.247 | 6.301 | 0.457,-0.101 | 6.326 | 0.157,0.211 | 6.494 | 0.331,-0.157 | 6.546 | 0.103,0.000,0.000,2017-02-15 11:43:51,1,316
0.178,0.020 | 6.612 | 0.169,0.249 | 6.302 | 0.453,-0.098 | 6.330 | 0.153,0.212 | 6.492 | 0.324,-0.153 | 6.549 | 0.096,0.000,0.000,2017-02-15 11:43:52,1,316
0.178,0.020 | 6.612 | 0.169,0.250 | 6.303 | 0.454,-0.098 | 6.330 | 0.152,0.213 | 6.492 | 0.323,-0.152 | 6.550 | 0.095,0.000,0.000,2017-02-15 11:43:52,1,316
0.153,0.010 | 6.630 | 0.147,0.227 | 6.312 | 0.418,-0.088 | 6.336 | 0.135,0.192 | 6.508 | 0.296,-0.154 | 6.551 | 0.074,0.000,0.000,2017-02-15 11:43:52,1,316
0.120,0.000 | 6.641 | 0.122,0.211 | 6.354 | 0.311,-0.088 | 6.326 | 0.115,0.253 | 6.539 | 0.175,-0.154 | 6.542 | 0.058,4.165,36.056,2017-02-15 11:43:52,1,316
0.077,-0.010 | 6.653 | 0.085,0.124 | 6.453 | 0.168,-0.062 | 6.339 | 0.070,0.287 | 6.601 | 0.090,-0.167 | 6.543 | 0.030,7.773,46.864,2017-02-15 11:43:52,1,316
0.037,-0.013 | 6.660 | 0.051,0.169 | 6.538 | 0.137,-0.138 | 6.319 | 0.044,0.326 | 6.688 | 0.051,-0.172 | 6.545 | -0.002,12.507,61.691,2017-02-15 11:43:53,1,316
0.012,-0.011 | 6.665 | 0.029,0.170 | 6.609 | 0.144,-0.127 | 6.320 | 0.050,0.338 | 6.734 | 0.041,-0.168 | 6.540 | -0.013,14.052,68.968,2017-02-15 11:43:53,1,316
-0.001,-0.018 | 6.666 | 0.019,0.112 | 6.604 | 0.106,-0.125 | 6.326 | 0.053,0.297 | 6.673 | -0.017,-0.180 | 6.540 | -0.021,14.440,50.754,2017-02-15 11:43:53,1,316
-0.008,-0.023 | 6.667 | 0.014,0.045 | 6.564 | 0.081,-0.137 | 6.328 | 0.043,0.238 | 6.616 | -0.039,-0.188 | 6.544 | -0.030,13.436,32.553,2017-02-15 11:43:53,1,316
-0.009,-0.023 | 6.668 | 0.013,0.017 | 6.544 | 0.085,-0.121 | 6.339 | 0.057,0.209 | 6.594 | -0.038,-0.184 | 6.545 | -0.031,11.779,23.981,2017-02-15 11:43:53,1,316
-0.009,-0.022 | 6.668 | 0.013,0.016 | 6.523 | 0.086,-0.122 | 6.335 | 0.052,0.204 | 6.589 | -0.035,-0.181 | 6.545 | -0.030,11.157,22.347,2017-02-15 11:43:54,1,316
-0.009,-0.021 | 6.668 | 0.013,0.064 | 6.480 | 0.107,-0.161 | 6.326 | 0.059,0.222 | 6.597 | -0.019,-0.176 | 6.544 | -0.023,9.934,27.161,2017-02-15 11:43:54,1,316
-0.007,-0.021 | 6.668 | 0.014,0.089 | 6.512 | 0.143,-0.151 | 6.320 | 0.075,0.246 | 6.613 | 0.004,-0.163 | 6.541 | 0.001,6.961,34.008,2017-02-15 11:43:54,1,316
-0.005,-0.018 | 6.668 | 0.015,0.048 | 6.574 | 0.128,-0.144 | 6.317 | 0.079,0.256 | 6.620 | 0.031,-0.158 | 6.539 | 0.011,6.641,36.528,2017-02-15 11:43:54,1,316
-0.002,-0.015 | 6.668 | 0.017,0.043 | 6.575 | 0.125,-0.150 | 6.312 | 0.069,0.253 | 6.614 | 0.032,-0.157 | 6.538 | 0.012,7.262,34.548,2017-02-15 11:43:55,1,316
0.000,-0.014 | 6.667 | 0.017,0.065 | 6.545 | 0.152,-0.145 | 6.312 | 0.066,0.251 | 6.609 | 0.028,-0.157 | 6.538 | 0.010,7.610,33.081,2017-02-15 11:43:55,1,316
0.000,-0.014 | 6.667 | 0.017,0.129 | 6.497 | 0.161,-0.111 | 6.385 | 0.179,0.264 | 6.618 | 0.014,-0.160 | 6.539 | 0.010,8.480,37.160,2017-02-15 11:43:55,1,316
0.000,-0.014 | 6.667 | 0.018,0.119 | 6.514 | 0.142,0.021 | 6.548 | 0.153,0.271 | 6.626 | 0.006,-0.165 | 6.539 | 0.012,9.460,39.734,2017-02-15 11:43:55,1,316
0.000,-0.015 | 6.667 | 0.018,0.060 | 6.567 | 0.127,0.033 | 6.574 | 0.127,0.256 | 6.612 | 0.008,-0.167 | 6.539 | 0.012,9.984,34.620,2017-02-15 11:43:55,1,316
0.003,-0.014 | 6.666 | 0.021,0.060 | 6.559 | 0.138,0.028 | 6.583 | 0.128,0.250 | 6.607 | 0.011,-0.170 | 6.540 | 0.012,10.679,32.739,2017-02-15 11:43:56,1,316
0.005,-0.014 | 6.666 | 0.023,0.057 | 6.552 | 0.134,0.028 | 6.578 | 0.128,0.249 | 6.606 | 0.013,-0.171 | 6.541 | 0.012,11.054,32.350,2017-02-15 11:43:56,1,316
0.005,-0.014 | 6.665 | 0.023,0.063 | 6.537 | 0.136,0.022 | 6.512 | 0.134,0.249 | 6.607 | 0.014,-0.173 | 6.542 | 0.009,11.448,32.301,2017-02-15 11:43:56,1,316
