Session: 322,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,2,50.120,False
2,0,7.651,True
3,8,44.975,True
4,0,52.720,True
5,0,15.495,True
6,3,49.660,True
7,10,42.762,True
8,6,46.759,True
9,0,13.768,True
10,9,43.650,True
11,0,28.622,True
12,9,43.900,True
13,2,33.979,False
14,0,19.231,False
15,9,40.862,True
16,7,45.911,True
17,6,46.423,False
18,0,21.351,True
19,9,40.265,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.175,0.003 | 6.620 | 0.161,0.210 | 6.408 | 0.621,-0.083 | 6.276 | 0.301,0.186 | 6.541 | 0.430,-0.087 | 6.495 | 0.221,0.000,0.000,2017-02-15 13:46:59,0,318
0.180,0.002 | 6.617 | 0.165,0.390 | 6.363 | 0.350,-0.155 | 6.284 | 0.035,0.282 | 6.553 | 0.270,-0.126 | 6.501 | 0.117,0.000,0.000,2017-02-15 13:46:59,1,318
0.151,-0.012 | 6.624 | 0.147,0.107 | 6.469 | 0.317,-0.151 | 6.281 | 0.106,0.265 | 6.569 | 0.178,-0.157 | 6.514 | 0.108,0.000,0.000,2017-02-15 13:46:59,1,318
0.107,-0.006 | 6.645 | 0.107,0.025 | 6.555 | 0.233,0.052 | 6.421 | 0.199,0.246 | 6.572 | 0.160,-0.135 | 6.528 | 0.111,0.000,0.000,2017-02-15 13:46:59,1,318
0.088,0.000 | 6.651 | 0.086,0.024 | 6.539 | 0.202,-0.249 | 6.448 | -0.199,0.252 | 6.586 | 0.186,-0.192 | 6.612 | -0.044,0.000,0.000,2017-02-15 13:46:59,1,318
0.073,0.009 | 6.651 | 0.070,0.121 | 6.547 | 0.213,-0.195 | 6.422 | -0.191,0.319 | 6.670 | 0.199,-0.165 | 6.620 | -0.071,24.694,56.084,2017-02-15 13:47:00,1,318
0.063,0.015 | 6.652 | 0.060,0.126 | 6.593 | 0.219,-0.195 | 6.412 | -0.191,0.333 | 6.697 | 0.195,-0.162 | 6.612 | -0.076,28.546,60.747,2017-02-15 13:47:00,1,318
0.060,0.017 | 6.653 | 0.057,0.110 | 6.572 | 0.222,-0.202 | 6.412 | -0.191,0.320 | 6.664 | 0.179,-0.167 | 6.611 | -0.074,31.869,49.336,2017-02-15 13:47:00,1,318
0.058,0.011 | 6.653 | 0.057,0.111 | 6.554 | 0.254,-0.232 | 6.391 | -0.152,0.279 | 6.609 | 0.103,-0.208 | 6.595 | -0.041,38.897,31.533,2017-02-15 13:47:00,1,318
0.060,0.008 | 6.653 | 0.059,0.065 | 6.541 | 0.213,-0.332 | 6.488 | 0.077,0.255 | 6.590 | 0.087,-0.119 | 6.531 | 0.160,5.386,26.625,2017-02-15 13:47:00,1,318
0.062,0.007 | 6.652 | 0.061,0.039 | 6.541 | 0.177,-0.116 | 6.750 | 0.260,0.250 | 6.582 | 0.088,-0.073 | 6.540 | 0.171,-7.824,26.062,2017-02-15 13:47:01,1,318
0.064,0.007 | 6.652 | 0.063,0.065 | 6.512 | 0.187,0.061 | 6.440 | 0.217,0.245 | 6.581 | 0.055,-0.136 | 6.525 | 0.125,9.043,24.504,2017-02-15 13:47:01,1,318
0.063,0.006 | 6.652 | 0.063,0.084 | 6.487 | 0.156,0.052 | 6.471 | 0.159,0.245 | 6.588 | 0.021,-0.168 | 6.528 | 0.107,16.417,26.233,2017-02-15 13:47:01,1,318
0.061,0.003 | 6.652 | 0.063,0.080 | 6.484 | 0.138,0.046 | 6.472 | 0.144,0.249 | 6.590 | 0.018,-0.176 | 6.531 | 0.103,16.580,29.096,2017-02-15 13:47:01,1,318
0.060,0.003 | 6.653 | 0.062,0.074 | 6.490 | 0.140,0.059 | 6.494 | 0.146,0.251 | 6.588 | 0.024,-0.168 | 6.530 | 0.103,14.054,29.675,2017-02-15 13:47:02,1,318
0.061,0.003 | 6.653 | 0.062,0.091 | 6.521 | 0.154,0.177 | 6.563 | 0.142,0.284 | 6.608 | 0.057,-0.054 | 6.545 | 0.163,-14.973,38.921,2017-02-15 13:47:02,1,318
0.062,0.004 | 6.652 | 0.063,0.141 | 6.561 | 0.189,0.224 | 6.598 | 0.185,0.324 | 6.661 | 0.085,-0.006 | 6.566 | 0.170,-26.742,53.039,2017-02-15 13:47:02,1,318
0.063,0.006 | 6.652 | 0.063,0.148 | 6.585 | 0.201,0.231 | 6.622 | 0.202,0.332 | 6.681 | 0.095,0.007 | 6.568 | 0.170,-27.345,54.824,2017-02-15 13:47:02,1,318
0.063,0.010 | 6.652 | 0.062,0.081 | 6.598 | 0.185,0.234 | 6.618 | 0.210,0.300 | 6.635 | 0.116,0.010 | 6.567 | 0.171,-26.651,39.593,2017-02-15 13:47:02,1,318
0.063,0.013 | 6.652 | 0.062,0.044 | 6.563 | 0.188,0.240 | 6.604 | 0.212,0.264 | 6.596 | 0.116,0.014 | 6.568 | 0.170,-27.544,26.378,2017-02-15 13:47:03,1,318
0.063,0.014 | 6.652 | 0.062,0.039 | 6.525 | 0.189,0.228 | 6.599 | 0.189,0.244 | 6.577 | 0.090,0.000 | 6.557 | 0.163,-23.601,20.319,2017-02-15 13:47:03,1,318
0.063,0.013 | 6.652 | 0.062,0.006 | 6.494 | 0.172,0.025 | 6.431 | 0.155,0.192 | 6.557 | 0.047,-0.176 | 6.531 | 0.094,22.110,7.252,2017-02-15 13:47:03,1,318
0.062,0.009 | 6.653 | 0.063,-0.030 | 6.469 | 0.124,0.000 | 6.469 | 0.113,0.172 | 6.552 | 0.042,-0.216 | 6.549 | 0.078,30.480,4.104,2017-02-15 13:47:03,1,318
